Model,League,Accuracy,Macro-F1,N_train,N_test,SplitDate
Random Forest,Premier League,0.5355263157894737,0.4884863556749964,2660,760,2022-07-01
Logistic Regression,Premier League,0.5263157894736842,0.495178218478371,2660,760,2022-07-01
Random Forest,La Liga,0.5197368421052632,0.4981487524201092,2660,760,2022-07-01
Decision Tree,Premier League,0.5184210526315789,0.4957603265236682,2660,760,2022-07-01
XGBoost,Premier League,0.5144736842105263,0.4780917044719555,2660,760,2022-07-01
Logistic Regression,Serie A,0.5131578947368421,0.502003772704846,2660,760,2022-07-01
Random Forest,Serie A,0.5092105263157894,0.4889729294458672,2660,760,2022-07-01
Linear Regression vB,Premier League,0.5052631578947369,0.4849808825218661,2660,760,2022-07-01
XGBoost,La Liga,0.5026315789473684,0.4749932593343278,2660,760,2022-07-01
Logistic Regression,La Liga,0.5013157894736842,0.4885054137701421,2660,760,2022-07-01
XGBoost,Serie A,0.5013157894736842,0.4894265120680865,2660,760,2022-07-01
Logistic Regression,Ligue 1,0.4970845481049563,0.4741351138156411,2660,760,2022-07-01
Decision Tree,Ligue 1,0.4970845481049563,0.450738276964454,2660,760,2022-07-01
Linear Regression vB,La Liga,0.4947368421052631,0.4665895980026529,2660,760,2022-07-01
XGBoost,Ligue 1,0.4927113702623906,0.4621598317095159,2660,760,2022-07-01
Linear Regression vB,Bundesliga,0.4885620915032679,0.4630062941871029,2660,760,2022-07-01
Random Forest,Ligue 1,0.4868804664723032,0.4471914099428178,2660,760,2022-07-01
Decision Tree,Serie A,0.4868421052631579,0.4831984462240979,2660,760,2022-07-01
Random Forest,Bundesliga,0.4836601307189542,0.4483069834346193,2660,760,2022-07-01
Linear Regression vB,Serie A,0.4802631578947368,0.4780119456496048,2660,760,2022-07-01
Decision Tree,La Liga,0.4710526315789474,0.455116275805931,2660,760,2022-07-01
Logistic Regression,Bundesliga,0.468954248366013,0.454704212390232,2660,760,2022-07-01
XGBoost,Bundesliga,0.4591503267973856,0.4278027543084515,2660,760,2022-07-01
Linear Regression vB,Ligue 1,0.4489795918367347,0.4362846328399682,2660,760,2022-07-01
Decision Tree,Bundesliga,0.446078431372549,0.4412056190934626,2660,760,2022-07-01
Linear Regression vA,Premier League,0.3934210526315789,0.386763186401003,2660,760,2022-07-01
Linear Regression vA,Serie A,0.3921052631578947,0.3581944153729293,2660,760,2022-07-01
Linear Regression vA,Bundesliga,0.3709150326797386,0.3127260598806503,2660,760,2022-07-01
Linear Regression vA,Ligue 1,0.3527696793002915,0.3167022697801426,2660,760,2022-07-01
Linear Regression vA,La Liga,0.3513157894736842,0.2867823696635458,2660,760,2022-07-01
