Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,League,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
F1,2014-08-08,Reims,Paris Saint-Germain,2.0,2.0,D,9.0,16.0,3.0,6.0,15.0,16.0,1.0,5.0,0.0,2.0,0.0,0.0,9.5,4.5,1.36,10.88,4.97,1.37,13.0,5.4,1.45,9.68,4.72,1.35,42.0,2014/2015,Ligue1,-7.0,-3.0,-4.0,-1.0,-2.0,0.0,4.0,0.0990451529373685,0.20909532286777793,0.6918595241948534,0.06277949776401792,8.14,0.08984128115099864,0.19667467583961074,0.7134840430093907,0.02304601546591689,9.510000000000002,3.3200000000000003,0.6800000000000006,0.09999999999999987,,,,,0.0,0.0,0.0,,,,,,4.2,1.0,3.2,3.0,5.0,1.0,4.0,3.0,3.0,2.8,2.4,0.20000000000000018,,,,,-5.0,-1.0,-4.0,,,,,,1,8,4,0,,,,,,,,,2.1,0.8075370121130552,,,,3.0,,-0.5928143712574849,-0.6236427618583921,0,1,0
F1,2014-08-09,Bastia,Marseille,3.0,3.0,D,13.0,9.0,4.0,4.0,25.0,21.0,1.0,4.0,3.0,1.0,0.0,0.0,3.9,3.1,2.05,3.98,3.34,2.11,4.25,3.45,2.12,3.73,3.25,2.04,46.0,2014/2015,Ligue1,4.0,0.0,-3.0,4.0,2.0,0.0,6.0,0.2403555219364599,0.3023827534039334,0.4572617246596066,0.06679577962032734,1.85,0.24522589984132728,0.292215293822899,0.4625588063357738,0.024591128300925025,1.87,0.52,0.20000000000000018,0.08000000000000007,,,,,0.0,0.0,0.0,,,,,,2.0,1.8,0.2,1.4,2.0,2.0,3.0,2.0,0.6666666666666666,1.7,0.3,0.30000000000000004,,,,,-2.0,-2.0,-3.0,,,,,,1,8,5,1,,,,,,,,,0.7142857142857143,0.5261773217574323,,,,1.7599999999999998,,-0.21690620272314673,-0.2173329064944465,0,0,0
F1,2014-08-09,Evian Thonon Gaillard,Caen,0.0,3.0,A,10.0,12.0,2.0,7.0,12.0,9.0,5.0,6.0,1.0,1.0,0.0,0.0,2.38,3.2,3.0,2.44,3.28,3.22,2.5,3.4,3.3,2.37,3.15,3.05,46.0,2014/2015,Ligue1,-2.0,-5.0,-1.0,3.0,0.0,-3.0,3.0,0.39415339136147154,0.29315158482509446,0.31269502381343406,0.06600140056022408,-0.6200000000000001,0.39973355133678506,0.2973627637993157,0.30290368486389924,0.0252731205654384,-0.7800000000000002,0.1299999999999999,0.25,0.25,,,,,0.0,0.0,0.0,,,,,,1.2,1.4,-0.2,1.4,2.0,2.0,3.0,2.0,0.6666666666666666,1.9,0.7,0.10000000000000009,,,,,-2.0,-2.0,-3.0,,,,,,1,8,5,1,,,,,,,,,0.5,0.46136101499423304,,,,1.7599999999999998,,0.08145836754803748,0.09682986647288583,0,0,1
F1,2014-08-09,Guingamp,Saint-Etienne,0.0,2.0,A,6.0,7.0,3.0,2.0,9.0,19.0,4.0,5.0,3.0,4.0,0.0,0.0,3.3,3.1,2.3,3.45,3.12,2.41,3.4,3.3,2.5,3.19,3.09,2.35,45.0,2014/2015,Ligue1,-1.0,1.0,-1.0,-10.0,-1.0,-2.0,2.0,0.28577154308617236,0.30420841683366734,0.41002004008016035,0.06039355688724557,1.0,0.28270113581249506,0.31260221748497047,0.4046966467025344,0.02530565231268822,1.04,0.20999999999999996,0.20999999999999996,0.1499999999999999,,,,,0.0,0.0,0.0,,,,,,2.2,0.2,2.0,3.0,5.0,4.0,1.0,3.0,2.3333333333333335,2.3,1.4,0.7000000000000002,,,,,-5.0,-4.0,-1.0,,,,,,1,8,5,1,,,,,,,,,1.8333333333333335,0.9162848812994585,,,,3.0,,-0.12424849699398799,-0.12199551089003935,0,0,0
F1,2014-08-09,Lille,Metz,0.0,0.0,D,14.0,2.0,3.0,1.0,9.0,23.0,8.0,3.0,0.0,1.0,0.0,0.0,1.5,4.1,6.5,1.53,4.13,7.65,1.56,4.2,8.0,1.51,3.9,6.94,46.0,2014/2015,Ligue1,12.0,2.0,5.0,-14.0,-1.0,0.0,0.0,0.6263219741480611,0.22914218566392483,0.1445358401880141,0.06441525953721072,-5.0,0.6367560900400864,0.2358926919518964,0.12735121800801727,0.026444476095522917,-6.12,0.050000000000000044,0.30000000000000027,1.0599999999999996,,,,,0.0,0.0,0.0,,,,,,1.4,2.6,-1.2,1.2,2.0,0.0,5.0,0.0,-3.0,0.7,-1.1,-0.7,,,,,-2.0,0.0,-5.0,,,,,,1,8,5,1,,,,,,,,,0.38888888888888884,0.3499125218695326,,,,0.48,,0.481786133960047,0.5094048720320691,1,0,0
F1,2014-08-09,Montpellier,Bordeaux,0.0,1.0,A,15.0,7.0,3.0,3.0,15.0,21.0,5.0,1.0,2.0,2.0,0.0,0.0,2.3,3.1,3.2,2.53,3.08,3.29,2.56,3.22,3.3,2.39,3.08,3.12,46.0,2014/2015,Ligue1,8.0,0.0,4.0,-6.0,0.0,-1.0,1.0,0.40639082343301924,0.3015157722244981,0.29209340434248254,0.06986325385694259,-0.9000000000000004,0.3860369609856263,0.31710178938105016,0.2968612496333235,0.02388360945252721,-0.7600000000000002,0.16999999999999993,0.14000000000000012,0.17999999999999972,,,,,0.0,0.0,0.0,,,,,,1.6,0.8,0.8,2.6,4.0,1.0,4.0,2.3333333333333335,0.6666666666666666,2.1,0.5,0.2333333333333334,,,,,-4.0,-1.0,-4.0,,,,,,1,8,5,1,,,,,,,,,0.888888888888889,0.6663890045814244,,,,2.4400000000000004,,0.1142974190905367,0.08917571135230279,0,0,1
F1,2014-08-09,Nantes,Lens,1.0,0.0,H,14.0,5.0,4.0,2.0,8.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,3.25,3.9,2.04,3.28,4.36,2.05,3.4,4.4,2.01,3.25,3.88,46.0,2014/2015,Ligue1,9.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.46987951807228917,0.28915662650602414,0.24096385542168677,0.0641025641025641,-1.9,0.47850527330156856,0.2976069382729268,0.22388778842550455,0.02443192537699801,-2.3200000000000003,0.040000000000000036,0.1499999999999999,0.5200000000000005,,,,,0.0,0.0,0.0,,,,,,0.2,1.6,-1.4,0.8,1.0,2.0,3.0,1.0,-1.0,0.8,-1.1,0.19999999999999996,,,,,-1.0,-2.0,-3.0,,,,,,1,8,5,1,,,,,,,,,0.07692307692307693,0.11104941699056081,,,,0.92,,0.2289156626506024,0.254617484876064,0,0,0
F1,2014-08-09,Nice,Toulouse,3.0,2.0,H,22.0,11.0,8.0,3.0,10.0,9.0,12.0,7.0,0.0,1.0,0.0,0.0,2.63,3.1,2.75,2.85,3.09,2.85,2.85,3.2,3.0,2.67,3.03,2.79,45.0,2014/2015,Ligue1,11.0,5.0,5.0,1.0,-1.0,1.0,5.0,0.35653792266995676,0.3024821731038665,0.3409799042261768,0.06644514567978321,-0.1200000000000001,0.3421926910299003,0.31561461794019935,0.3421926910299003,0.025378981434168058,0.0,0.18000000000000016,0.17000000000000037,0.20999999999999996,,,,,0.0,0.0,0.0,,,,,,1.8,1.4,0.4,2.0,3.0,1.0,4.0,1.3333333333333333,0.0,1.8,-0.1,-0.4666666666666668,,,,,-3.0,-1.0,-4.0,,,,,,1,8,5,1,,,,,,,,,0.75,0.5623242736644799,,,,1.6,,0.015558018443779964,0.0,0,0,1
F1,2014-08-10,Lyon,Rennes,2.0,0.0,H,19.0,7.0,6.0,1.0,19.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,1.8,3.4,4.75,1.85,3.52,4.95,1.91,3.55,4.95,1.84,3.38,4.49,46.0,2014/2015,Ligue1,12.0,5.0,4.0,6.0,1.0,2.0,2.0,0.5240103828682673,0.2774172615184945,0.19857235561323813,0.06019951840385285,-2.95,0.526508226691042,0.27671597141432613,0.1967758018946319,0.02665165165165151,-3.1,0.06999999999999984,0.16999999999999993,0.45999999999999996,,,,,0.0,0.0,0.0,,,,,,0.6,0.6,0.0,1.4,2.0,2.0,3.0,1.0,-0.3333333333333333,1.3,-0.2,-0.30000000000000004,,,,,-2.0,-2.0,-3.0,,,,,,1,8,6,1,,,,,,,,,0.37499999999999994,0.4995836802664447,,,,1.16,,0.3254380272550291,0.32973242479641013,0,0,0
F1,2014-08-10,Monaco,Lorient,1.0,2.0,A,12.0,9.0,7.0,3.0,11.0,19.0,10.0,4.0,3.0,2.0,1.0,0.0,1.4,4.33,8.5,1.42,4.7,9.4,1.45,4.8,10.0,1.4,4.35,8.41,45.0,2014/2015,Ligue1,3.0,4.0,6.0,-8.0,2.0,-1.0,3.0,0.6720287764529735,0.21728413095477203,0.11068709259225445,0.06287965532633377,-7.1,0.6881405563689604,0.20790629575402633,0.10395314787701317,0.0233742882828889,-7.98,0.050000000000000044,0.4500000000000002,1.5899999999999999,,,,,0.0,0.0,0.0,,,,,,0.4,1.2,-0.8,0.8,1.0,1.0,4.0,0.3333333333333333,-0.6666666666666666,1.2,-0.2,-0.8666666666666667,,,,,-1.0,-1.0,-4.0,,,,,,1,8,6,1,,,,,,,,,0.18181818181818182,0.249843847595253,,,,0.52,,0.561341683860719,0.5841874084919473,1,0,0
