,missing,missing_%
BbAvA,7230,44.19
BbMxH,7230,44.19
OddsSpread_D,7230,44.19
OddsSpread_A,7230,44.19
Bb1X2,7230,44.19
BbAvD,7230,44.19
BbAvH,7230,44.19
BbMxA,7230,44.19
BbMxD,7230,44.19
OddsSpread_H,7230,44.19
SeasonStrength_GDDiff,453,2.77
SeasonStrength_PtsDiff,453,2.77
Home_AvgGD_season,440,2.69
Home_AvgPts_season,440,2.69
Away_AvgPts_season,440,2.69
Away_AvgGD_season,440,2.69
FormDiff_Pts_trend_3v10,109,0.67
FormDiff_GD_last10,109,0.67
FormDiff_AttDefRatio_last5,109,0.67
FormDiff_GoalsShare_last5,109,0.67
FormDiff_Pts_last10,109,0.67
FormDiff_RecentFormIdx,109,0.67
FormDiff_Pts_last3,109,0.67
FormDiff_GD_last3,109,0.67
FormDiff_Pts_last5,109,0.67
FormDiff_GD_last5,109,0.67
FormDiff_GA_last5,109,0.67
FormDiff_GF_last5,109,0.67
Away_GD_last10,86,0.53
Away_Pts_trend_3v10,86,0.53
Away_GF_last5,86,0.53
Away_GA_last5,86,0.53
Away_GD_last5,86,0.53
Away_Pts_last5,86,0.53
Away_AttDefRatio_last5,86,0.53
Away_GoalsShare_last5,86,0.53
Away_RecentFormIdx,86,0.53
Away_Pts_last10,86,0.53
Away_GD_last3,86,0.53
Away_Pts_last3,86,0.53
Home_GF_last5,73,0.45
Home_GoalsShare_last5,73,0.45
Home_GA_last5,73,0.45
Home_GD_last3,73,0.45
Home_GD_last5,73,0.45
Home_Pts_last5,73,0.45
Home_Pts_last10,73,0.45
Home_GD_last10,73,0.45
Home_Pts_trend_3v10,73,0.45
Home_RecentFormIdx,73,0.45
Home_Pts_last3,73,0.45
Home_AttDefRatio_last5,73,0.45
Prob_H_ps,20,0.12
Prob_D_ps,20,0.12
Prob_A_ps,20,0.12
Margin_PS,20,0.12
OddsDiff_PS,20,0.12
PSA,20,0.12
PSD,20,0.12
PSH,20,0.12
Market_ImpliedDiff_ps,20,0.12
OddsDiff_B365,6,0.04
Market_ImpliedDiff_b365,6,0.04
B365A,6,0.04
Prob_A_b365,6,0.04
Prob_D_b365,6,0.04
Prob_H_b365,6,0.04
Margin_B365,6,0.04
B365H,6,0.04
B365D,6,0.04
HY,2,0.01
CardsDiff,2,0.01
AST,1,0.01
HC,1,0.01
AS,1,0.01
HS,1,0.01
HF,1,0.01
AF,1,0.01
HST,1,0.01
HR,1,0.01
AC,1,0.01
AY,1,0.01
ShotsDiff,1,0.01
ShotsOnTargetDiff,1,0.01
CornersDiff,1,0.01
FoulsDiff,1,0.01
AR,1,0.01
Market_BigAwayFav,0,0.0
Weekday,0,0.0
Market_BigHomeFav,0,0.0
IsWeekend,0,0.0
Div,0,0.0
Month,0,0.0
IsHomeAlways1,0,0.0
HomeTeam,0,0.0
AwayTeam,0,0.0
FTHG,0,0.0
FTAG,0,0.0
FTR,0,0.0
Season,0,0.0
League,0,0.0
GoalDiff,0,0.0
TotalGoals,0,0.0
Date,0,0.0
Home_Wins_last5,0,0.0
Home_CleanSheets_last5,0,0.0
Home_Conceded0plus_last5,0,0.0
Away_Wins_last5,0,0.0
Away_CleanSheets_last5,0,0.0
Away_Conceded0plus_last5,0,0.0
FormDiff_Wins_last5,0,0.0
FormDiff_CleanSheets_last5,0,0.0
FormDiff_Conceded0plus_last5,0,0.0
Market_BalancedMatch,0,0.0
