League,Drużyna,Łączna liczba punktów
LaLiga,Barcelona,780
PremierLeague,Manchester City,780
Ligue1,Paris Saint-Germain,779
LaLiga,Real Madrid,762
SerieA,Juventus,745
Bundesliga,Bayern Munich,709
LaLiga,Atletico Madrid,709
SerieA,Napoli,700
PremierLeague,Liverpool,680
SerieA,Inter Milan,666
PremierLeague,Arsenal,657
SerieA,Roma,632
PremierLeague,Tottenham,627
Ligue1,Monaco,626
PremierLeague,Chelsea,620
PremierLeague,Manchester United,619
SerieA,Milan,614
Ligue1,Lyon,610
SerieA,Lazio,591
Bundesliga,Dortmund,586
Ligue1,Marseille,571
LaLiga,Sevilla,554
SerieA,Atalanta,553
Ligue1,Lille,539
Ligue1,Nice,531
Bundesliga,Leverkusen,531
LaLiga,Villarreal,530
LaLiga,Sociedad,512
SerieA,Fiorentina,504
Ligue1,Rennes,500
LaLiga,Athletic Bilbao,496
LaLiga,Valencia,483
SerieA,Torino,462
PremierLeague,West Ham,461
Ligue1,Montpellier,443
PremierLeague,Everton,440
Bundesliga,RB Leipzig,440
Bundesliga,M'gladbach,439
LaLiga,Real Betis,437
SerieA,Sassuolo,429
LaLiga,Celta,429
Bundesliga,Wolfsburg,428
Bundesliga,Ein Frankfurt,423
Bundesliga,Hoffenheim,420
PremierLeague,Leicester,417
PremierLeague,Crystal Palace,410
Ligue1,Nantes,408
PremierLeague,Newcastle,390
SerieA,Udinese,378
Ligue1,Saint-Etienne,376
SerieA,Bologna,375
Bundesliga,Mainz,372
SerieA,Sampdoria,358
Bundesliga,Freiburg,355
PremierLeague,Southampton,352
LaLiga,Getafe,349
Bundesliga,Augsburg,345
Ligue1,Bordeaux,344
SerieA,Genoa,339
Bundesliga,Stuttgart,332
Bundesliga,Werder Bremen,330
LaLiga,Espanol,329
Ligue1,Reims,324
Bundesliga,Hertha,317
Bundesliga,FC Koln,308
Ligue1,Toulouse,292
Ligue1,Lorient,287
Ligue1,Angers,286
Bundesliga,Schalke 04,286
PremierLeague,Aston Villa,284
Ligue1,Lens,283
SerieA,Empoli,278
PremierLeague,Brighton,278
Ligue1,Strasbourg,271
LaLiga,Alaves,267
PremierLeague,Burnley,265
PremierLeague,Bournemouth,264
SerieA,Cagliari,264
SerieA,Verona,264
LaLiga,Eibar,260
LaLiga,Vallecano,248
PremierLeague,Wolverhampton,240
LaLiga,Levante,235
LaLiga,Girona,218
Ligue1,Guingamp,217
LaLiga,Osasuna,211
Ligue1,Caen,208
Ligue1,Metz,206
Bundesliga,Union Berlin,202
LaLiga,Granada,199
PremierLeague,Watford,199
SerieA,Chievo,196
Ligue1,Brest,194
PremierLeague,West Brom,189
PremierLeague,Stoke,182
PremierLeague,Swansea,177
LaLiga,Malaga,164
LaLiga,Cadiz,158
PremierLeague,Fulham,153
Bundesliga,Hamburg,145
LaLiga,Las Palmas,145
LaLiga,Elche,144
PremierLeague,Brentford,144
LaLiga,Deportivo La Coruna,142
Ligue1,Dijon,140
Ligue1,Bastia,131
LaLiga,Mallorca,129
PremierLeague,Leeds,128
LaLiga,Leganes,123
Bundesliga,Hannover,122
Ligue1,Clermont,120
SerieA,Palermo,114
Ligue1,Troyes,113
LaLiga,Valladolid,112
Bundesliga,Bochum,110
SerieA,Spezia,106
PremierLeague,Sunderland,101
SerieA,Monza,97
LaLiga,Almeria,94
SerieA,Crotone,92
SerieA,Frosinone,91
SerieA,Salernitana,90
Ligue1,Nîmes,88
SerieA,Parma,87
Ligue1,Amiens,83
SerieA,Spal,80
Bundesliga,Darmstadt,80
SerieA,Lecce,74
PremierLeague,Nott'm Forest,74
Bundesliga,Ingolstadt,72
LaLiga,Sp Gijon,70
PremierLeague,Hull,69
LaLiga,Huesca,67
Bundesliga,Bielefeld,63
PremierLeague,Norwich,56
SerieA,Benevento,54
PremierLeague,Huddersfield,53
Bundesliga,Fortuna Dusseldorf,44
Bundesliga,Heidenheim,42
PremierLeague,Sheffield United,39
SerieA,Carpi,38
Ligue1,Evian Thonon Gaillard,37
Ligue1,Ajaccio GFCO,37
Ligue1,Nancy,35
Ligue1,Auxerre,35
PremierLeague,Cardiff,34
Ligue1,Le Havre,32
Bundesliga,Paderborn,31
PremierLeague,QPR,30
PremierLeague,Middlesbrough,28
SerieA,Cremonese,27
SerieA,Venezia,27
Ligue1,Ajaccio,26
PremierLeague,Luton,26
SerieA,Cesena,24
LaLiga,Cordoba,20
Bundesliga,Nurnberg,19
Bundesliga,Greuther Furth,18
SerieA,Pescara,18
