Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
D1,2014-08-22,Bayern Munich,Wolfsburg,2,1,H,17,9,10,4,5,9,9,3,0,2,0,0,1.25,6.0,10.0,1.28,6.47,12.0,1.3,7.0,13.0,1.25,6.2,10.87,49.0,2014/2015
D1,2014-08-23,Dortmund,Leverkusen,0,2,A,11,11,4,2,13,28,8,4,1,2,0,0,1.57,4.33,5.0,1.63,4.39,5.56,1.7,4.4,6.0,1.59,4.11,5.47,50.0,2014/2015
D1,2014-08-23,Ein Frankfurt,Freiburg,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,2.05,3.4,3.6,2.04,3.63,3.93,2.11,3.65,3.95,2.01,3.45,3.68,49.0,2014/2015
D1,2014-08-23,FC Koln,Hamburg,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,2.0,3.5,3.6,2.04,3.67,3.89,2.21,3.7,3.95,2.01,3.5,3.62,49.0,2014/2015
D1,2014-08-23,Hannover,Schalke 04,2,1,H,8,12,3,5,12,15,2,4,2,1,0,0,2.9,3.5,2.3,3.15,3.58,2.37,3.21,3.62,2.44,3.01,3.42,2.33,49.0,2014/2015
D1,2014-08-23,Hertha,Werder Bremen,2,2,D,19,9,5,5,17,18,9,5,1,2,0,0,1.95,3.5,3.75,1.97,3.67,4.16,2.02,3.8,4.2,1.96,3.5,3.85,49.0,2014/2015
D1,2014-08-23,Hoffenheim,Augsburg,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,1.91,3.6,3.8,1.96,3.83,4.02,2.05,3.95,4.02,1.95,3.61,3.78,50.0,2014/2015
D1,2014-08-24,M'gladbach,Stuttgart,1,1,D,19,7,6,3,8,16,6,3,2,1,0,0,1.95,3.5,3.75,1.94,3.73,4.22,2.0,3.8,4.22,1.93,3.55,3.92,49.0,2014/2015
D1,2014-08-24,Paderborn,Mainz,2,2,D,10,14,3,4,16,14,4,3,2,2,0,0,3.1,3.4,2.25,3.15,3.43,2.43,3.2,3.5,2.51,2.97,3.35,2.37,50.0,2014/2015
D1,2014-08-29,Augsburg,Dortmund,2,3,A,12,22,3,9,9,12,3,6,2,3,0,0,4.5,3.75,1.73,5.11,4.0,1.74,6.0,4.2,1.78,5.03,3.86,1.68,49.0,2014/2015
D1,2014-08-30,Schalke 04,Bayern Munich,1,1,D,8,10,4,4,15,15,1,3,4,1,0,0,6.0,4.75,1.44,7.07,4.77,1.5,7.7,4.9,1.55,6.58,4.49,1.47,49.0,2014/2015
