Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
D1,2014-08-22,Bayern Munich,Wolfsburg,2,1,H,17,9,10,4,5,9,9,3,0,2,0,0,1.25,6.0,10.0,1.28,6.47,12.0,1.3,7.0,13.0,1.25,6.2,10.87,49.0,2014/2015,8,6,6,-4,-2,1,3,0.75,0.15625,0.09375,0.06666666666666665,-8.75,0.7665755675265794,0.15165637193725218,0.08176806053616846,0.019142838742916002,-10.72,0.050000000000000044,0.7999999999999998,2.130000000000001,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,4,0,,,,,,,,,,,,,,,,0.65625,0.6848075069904109,1,0,0
D1,2014-08-23,Dortmund,Leverkusen,0,2,A,11,11,4,2,13,28,8,4,1,2,0,0,1.57,4.33,5.0,1.63,4.39,5.56,1.7,4.4,6.0,1.59,4.11,5.47,50.0,2014/2015,0,2,4,-15,-1,-2,2,0.5964499519258584,0.21626476316942211,0.18728528490471957,0.06788955737632563,-3.4299999999999997,0.6007940551703428,0.22307387469878334,0.1761320701308739,0.021143480425073413,-3.9299999999999997,0.10999999999999988,0.29000000000000004,0.5300000000000002,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.4091646670211388,0.4246619850394689,0,0,0
D1,2014-08-23,Ein Frankfurt,Freiburg,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,2.05,3.4,3.6,2.04,3.63,3.93,2.11,3.65,3.95,2.01,3.45,3.68,49.0,2014/2015,-3,-4,1,-5,-2,1,1,0.4603234298608499,0.27754795035727714,0.26212861978187285,0.05970030288538197,-1.5500000000000003,0.48052263012701973,0.27004577560857307,0.2494315942644072,0.02013109830393578,-1.8900000000000001,0.10000000000000009,0.19999999999999973,0.27,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.19819481007897705,0.23109103586261254,0,0,0
D1,2014-08-23,FC Koln,Hamburg,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,2.0,3.5,3.6,2.04,3.67,3.89,2.21,3.7,3.95,2.01,3.5,3.62,49.0,2014/2015,-9,-1,-3,7,0,0,0,0.4701492537313433,0.26865671641791045,0.2611940298507463,0.06349206349206349,-1.6,0.48070454262307777,0.267203614973046,0.2520918424038763,0.01974505120442993,-1.85,0.20000000000000018,0.20000000000000018,0.33000000000000007,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.208955223880597,0.2286127002192015,0,0,0
D1,2014-08-23,Hannover,Schalke 04,2,1,H,8,12,3,5,12,15,2,4,2,1,0,0,2.9,3.5,2.3,3.15,3.58,2.37,3.21,3.62,2.44,3.01,3.42,2.33,49.0,2014/2015,-4,-2,-2,-3,1,1,3,0.3236831523924407,0.268194611982308,0.40812223562525135,0.06532448061683449,0.6000000000000001,0.3116233458576198,0.2741937261037716,0.41418292803860857,0.018730854668907115,0.7799999999999998,0.20000000000000018,0.20000000000000018,0.10999999999999988,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,-0.08443908323281063,-0.10255958218098876,0,0,0
D1,2014-08-23,Hertha,Werder Bremen,2,2,D,19,9,5,5,17,18,9,5,1,2,0,0,1.95,3.5,3.75,1.97,3.67,4.16,2.02,3.8,4.2,1.96,3.5,3.85,49.0,2014/2015,10,0,4,-1,-1,0,4,0.48143053645116923,0.2682255845942228,0.25034387895460797,0.06520146520146519,-1.8,0.4974276935909006,0.2670115957422546,0.23556071066684475,0.020478392615282504,-2.1900000000000004,0.06000000000000005,0.2999999999999998,0.3500000000000001,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.23108665749656127,0.26186698292405586,0,0,0
D1,2014-08-23,Hoffenheim,Augsburg,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,1.91,3.6,3.8,1.96,3.83,4.02,2.05,3.95,4.02,1.95,3.61,3.78,50.0,2014/2015,-2,1,4,4,-1,2,2,0.491838642410297,0.26094772416768536,0.2472136334220177,0.06449588193870359,-1.89,0.50017217518988,0.25596278417027796,0.24386504063984202,0.020056906282251097,-2.0599999999999996,0.09999999999999987,0.3400000000000003,0.23999999999999977,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.24462500898827932,0.25630713455003795,0,0,0
D1,2014-08-24,M'gladbach,Stuttgart,1,1,D,19,7,6,3,8,16,6,3,2,1,0,0,1.95,3.5,3.75,1.94,3.73,4.22,2.0,3.8,4.22,1.93,3.55,3.92,49.0,2014/2015,12,3,3,-8,1,0,2,0.48143053645116923,0.2682255845942228,0.25034387895460797,0.06520146520146519,-1.8,0.50509568855973,0.26270392380854585,0.23220038763172415,0.020527256915631398,-2.28,0.07000000000000006,0.25,0.2999999999999998,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.23108665749656127,0.27289530092800585,0,0,0
D1,2014-08-24,Paderborn,Mainz,2,2,D,10,14,3,4,16,14,4,3,2,2,0,0,3.1,3.4,2.25,3.15,3.43,2.43,3.2,3.5,2.51,2.97,3.35,2.37,50.0,2014/2015,-4,-1,1,2,0,0,4,0.3039936419630439,0.27717067355454006,0.41883568448241604,0.06114273666455827,0.8500000000000001,0.31107453562191395,0.2856806959793087,0.4032447683987773,0.02052814070954656,0.7199999999999998,0.22999999999999998,0.1499999999999999,0.13999999999999968,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.11484204251937213,-0.09217023277686337,0,0,0
D1,2014-08-29,Augsburg,Dortmund,2,3,A,12,22,3,9,9,12,3,6,2,3,0,0,4.5,3.75,1.73,5.11,4.0,1.74,6.0,4.2,1.78,5.03,3.86,1.68,49.0,2014/2015,-10,-6,-3,-3,-1,-1,5,0.20828316879364314,0.24993980255237178,0.5417770286539851,0.06692357096981372,2.77,0.19178097290267115,0.2450001928831624,0.5632188342141664,0.02040735992082232,3.37,0.9699999999999998,0.3400000000000003,0.10000000000000009,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,4,0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33349385986034197,-0.37143786131149525,0,0,0
