,missing,missing_%
BbMxH,1224,44.44
OddsSpread_H,1224,44.44
OddsSpread_D,1224,44.44
Bb1X2,1224,44.44
BbAvA,1224,44.44
BbAvD,1224,44.44
BbAvH,1224,44.44
BbMxA,1224,44.44
BbMxD,1224,44.44
OddsSpread_A,1224,44.44
Away_AvgPts_season,81,2.94
SeasonStrength_PtsDiff,81,2.94
SeasonStrength_GDDiff,81,2.94
Away_AvgGD_season,81,2.94
Home_AvgPts_season,81,2.94
Home_AvgGD_season,81,2.94
FormDiff_GD_last5,19,0.69
FormDiff_Pts_last5,19,0.69
FormDiff_Pts_last3,19,0.69
FormDiff_GD_last3,19,0.69
FormDiff_Pts_trend_3v10,19,0.69
FormDiff_GD_last10,19,0.69
FormDiff_GA_last5,19,0.69
FormDiff_GF_last5,19,0.69
FormDiff_AttDefRatio_last5,19,0.69
FormDiff_GoalsShare_last5,19,0.69
FormDiff_RecentFormIdx,19,0.69
FormDiff_Pts_last10,19,0.69
Away_Pts_trend_3v10,16,0.58
Away_GD_last10,16,0.58
Away_GF_last5,16,0.58
Away_GA_last5,16,0.58
Away_GD_last5,16,0.58
Away_Pts_last5,16,0.58
Away_Pts_last10,16,0.58
Away_GD_last3,16,0.58
Away_Pts_last3,16,0.58
Away_RecentFormIdx,16,0.58
Away_GoalsShare_last5,16,0.58
Away_AttDefRatio_last5,16,0.58
Home_AttDefRatio_last5,12,0.44
Home_Pts_trend_3v10,12,0.44
Home_GD_last10,12,0.44
Home_Pts_last10,12,0.44
Home_GD_last3,12,0.44
Home_Pts_last3,12,0.44
Home_RecentFormIdx,12,0.44
Home_GoalsShare_last5,12,0.44
Home_GD_last5,12,0.44
Home_GA_last5,12,0.44
Home_GF_last5,12,0.44
Home_Pts_last5,12,0.44
OddsDiff_PS,1,0.04
Margin_PS,1,0.04
Prob_A_ps,1,0.04
Prob_D_ps,1,0.04
Prob_H_ps,1,0.04
PSD,1,0.04
PSA,1,0.04
PSH,1,0.04
Market_ImpliedDiff_ps,1,0.04
Month,0,0.0
Market_BigAwayFav,0,0.0
Market_BigHomeFav,0,0.0
Market_ImpliedDiff_b365,0,0.0
IsWeekend,0,0.0
Weekday,0,0.0
FormDiff_Conceded0plus_last5,0,0.0
FormDiff_CleanSheets_last5,0,0.0
IsHomeAlways1,0,0.0
FormDiff_Wins_last5,0,0.0
Div,0,0.0
Away_Conceded0plus_last5,0,0.0
B365D,0,0.0
AR,0,0.0
HR,0,0.0
AY,0,0.0
HY,0,0.0
AC,0,0.0
HC,0,0.0
AF,0,0.0
HF,0,0.0
AST,0,0.0
HST,0,0.0
AS,0,0.0
HS,0,0.0
FTR,0,0.0
FTAG,0,0.0
FTHG,0,0.0
AwayTeam,0,0.0
HomeTeam,0,0.0
B365H,0,0.0
B365A,0,0.0
Away_CleanSheets_last5,0,0.0
Season,0,0.0
Away_Wins_last5,0,0.0
Home_Conceded0plus_last5,0,0.0
Home_CleanSheets_last5,0,0.0
Home_Wins_last5,0,0.0
Date,0,0.0
OddsDiff_B365,0,0.0
Margin_B365,0,0.0
Prob_A_b365,0,0.0
Prob_D_b365,0,0.0
Prob_H_b365,0,0.0
TotalGoals,0,0.0
GoalDiff,0,0.0
CardsDiff,0,0.0
FoulsDiff,0,0.0
CornersDiff,0,0.0
ShotsOnTargetDiff,0,0.0
ShotsDiff,0,0.0
Market_BalancedMatch,0,0.0
