Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
SP1,2014-08-23,Almeria,Espanol,1,1,D,19,12,6,2,8,9,11,7,3,2,0,1,2.55,3.3,2.7,2.8,3.29,2.78,2.8,3.35,2.9,2.66,3.18,2.75,49.0,2014/2015
SP1,2014-08-23,Granada,Deportivo La Coruna,2,1,H,10,7,3,1,13,26,5,3,1,2,0,0,1.95,3.2,4.2,2.05,3.33,4.31,2.11,3.45,4.4,2.03,3.23,3.99,48.0,2014/2015
SP1,2014-08-23,Malaga,Athletic Bilbao,1,0,H,12,12,3,5,13,9,5,4,3,3,2,0,2.8,3.3,2.45,2.96,3.37,2.6,3.07,3.4,2.8,2.83,3.23,2.55,49.0,2014/2015
SP1,2014-08-23,Sevilla,Valencia,1,1,D,10,11,3,1,23,8,3,3,4,2,0,1,2.05,3.5,3.5,2.05,3.62,3.9,2.11,3.65,4.0,2.05,3.41,3.66,48.0,2014/2015
SP1,2014-08-24,Barcelona,Elche,3,0,H,12,3,6,0,11,13,3,1,0,1,1,0,1.1,9.0,21.0,1.1,13.15,29.7,1.12,14.01,36.0,1.09,10.13,26.0,49.0,2014/2015
SP1,2014-08-24,Celta,Getafe,3,1,H,20,12,8,3,19,15,4,4,4,1,0,0,1.91,3.4,4.0,1.92,3.64,4.45,1.95,3.7,4.65,1.89,3.49,4.09,49.0,2014/2015
SP1,2014-08-24,Eibar,Sociedad,1,0,H,12,19,5,4,13,14,5,6,4,1,0,0,3.25,3.4,2.2,3.53,3.37,2.27,3.61,3.42,2.34,3.32,3.29,2.23,49.0,2014/2015
SP1,2014-08-24,Levante,Villarreal,0,2,A,9,12,2,6,11,14,3,4,1,3,0,0,3.4,3.4,2.1,3.84,3.42,2.14,3.85,3.45,2.26,3.54,3.25,2.15,49.0,2014/2015
SP1,2014-08-25,Real Madrid,Cordoba,2,0,H,14,8,8,2,9,13,8,5,1,2,0,0,1.06,11.0,29.0,1.07,16.85,33.5,1.09,18.0,46.08,1.07,12.27,30.06,45.0,2014/2015
SP1,2014-08-25,Vallecano,Atletico Madrid,0,0,D,8,9,2,2,13,17,2,4,2,2,0,0,7.0,4.0,1.5,7.07,4.45,1.53,7.4,4.55,1.58,6.38,4.15,1.52,45.0,2014/2015
SP1,2014-08-29,Getafe,Almeria,1,0,H,12,11,3,4,17,11,2,3,3,2,0,0,2.0,3.4,3.75,2.09,3.43,4.0,2.12,3.5,4.05,2.06,3.33,3.78,49.0,2014/2015
SP1,2014-08-29,Valencia,Malaga,3,0,H,14,17,4,4,18,11,4,6,1,2,0,1,1.55,4.2,5.5,1.59,4.21,6.55,1.62,4.35,6.65,1.56,4.04,6.13,48.0,2014/2015
SP1,2014-08-30,Athletic Bilbao,Levante,3,0,H,10,10,5,2,13,17,2,11,1,4,0,0,1.33,5.0,9.0,1.34,5.32,11.31,1.41,5.35,12.0,1.34,4.87,10.18,49.0,2014/2015
SP1,2014-08-30,Atletico Madrid,Eibar,2,1,H,15,8,6,2,12,18,5,5,3,0,0,0,1.22,5.75,13.0,1.25,6.3,16.46,1.27,6.8,17.5,1.24,5.85,13.4,49.0,2014/2015
SP1,2014-08-30,Cordoba,Celta,1,1,D,6,9,1,4,14,17,1,6,1,4,0,0,3.3,3.3,2.2,3.43,3.35,2.33,3.47,3.45,2.39,3.25,3.25,2.28,49.0,2014/2015
SP1,2014-08-30,Espanol,Sevilla,1,2,A,4,13,2,6,20,24,3,7,4,2,0,0,2.5,3.2,2.88,2.53,3.35,3.06,2.63,3.4,3.15,2.48,3.23,2.92,49.0,2014/2015
SP1,2014-08-31,Elche,Granada,1,1,D,15,5,3,4,12,17,8,4,4,4,0,0,2.2,3.2,3.4,2.32,3.28,3.53,2.32,3.35,3.65,2.25,3.16,3.36,49.0,2014/2015
SP1,2014-08-31,Deportivo La Coruna,Vallecano,2,2,D,10,12,5,2,16,18,2,4,4,6,0,0,2.25,3.3,3.2,2.35,3.33,3.4,2.39,3.45,3.5,2.27,3.25,3.22,49.0,2014/2015
SP1,2014-08-31,Sociedad,Real Madrid,4,2,H,13,19,5,5,18,12,8,6,1,2,0,0,7.5,5.0,1.36,8.75,5.34,1.39,8.9,5.32,1.45,7.9,4.87,1.38,49.0,2014/2015
SP1,2014-08-31,Villarreal,Barcelona,0,1,A,9,20,0,8,12,9,3,10,0,2,0,0,5.0,4.2,1.57,5.58,4.48,1.62,5.8,4.5,1.66,5.31,4.13,1.6,49.0,2014/2015
SP1,2014-09-12,Almeria,Cordoba,1,1,D,12,11,2,4,14,22,8,2,4,4,0,0,2.05,3.3,3.6,2.1,3.3,4.15,2.16,3.45,4.21,2.05,3.25,3.93,45.0,2014/2015
SP1,2014-09-13,Barcelona,Athletic Bilbao,2,0,H,15,3,8,2,12,11,5,1,1,1,0,0,1.3,5.5,8.5,1.33,5.77,10.27,1.37,6.0,11.0,1.32,5.42,9.19,45.0,2014/2015
SP1,2014-09-13,Celta,Sociedad,2,2,D,13,20,6,5,13,15,5,8,1,5,0,0,2.2,3.3,3.3,2.24,3.53,3.43,2.31,3.53,3.55,2.23,3.35,3.26,45.0,2014/2015
SP1,2014-09-13,Malaga,Levante,0,0,D,18,10,7,0,10,15,20,1,1,2,0,0,1.62,3.6,6.0,1.61,3.93,6.94,1.65,3.95,7.5,1.58,3.72,6.37,45.0,2014/2015
SP1,2014-09-13,Real Madrid,Atletico Madrid,1,2,A,21,9,4,2,12,12,4,4,4,7,0,0,1.67,3.75,5.0,1.7,4.0,5.42,1.74,4.12,5.77,1.67,3.77,5.35,45.0,2014/2015
SP1,2014-09-14,Granada,Villarreal,0,0,D,9,14,3,3,12,13,9,5,3,2,0,0,3.5,3.2,2.15,3.88,3.28,2.19,4.0,3.3,2.25,3.58,3.19,2.17,45.0,2014/2015
SP1,2014-09-14,Sevilla,Getafe,2,0,H,12,7,4,1,10,25,8,5,2,6,0,0,1.44,4.33,7.0,1.46,4.63,8.42,1.51,4.8,8.42,1.45,4.37,7.51,45.0,2014/2015
SP1,2014-09-14,Valencia,Espanol,3,1,H,11,8,6,3,15,13,7,8,1,1,0,0,1.62,3.75,5.5,1.64,4.04,6.14,1.66,4.06,6.7,1.62,3.8,5.81,44.0,2014/2015
SP1,2014-09-14,Vallecano,Elche,2,3,A,14,12,4,5,11,23,6,5,2,2,0,0,1.73,3.5,5.0,1.77,3.78,5.27,1.8,3.8,5.6,1.75,3.59,4.91,44.0,2014/2015
SP1,2014-09-15,Eibar,Deportivo La Coruna,0,1,A,14,4,2,1,11,23,4,8,0,5,0,0,2.1,3.2,3.6,2.09,3.22,4.34,2.21,3.3,4.34,2.09,3.18,3.84,43.0,2014/2015
SP1,2014-09-19,Elche,Eibar,0,2,A,15,8,6,4,9,10,10,7,2,1,0,0,2.15,3.0,3.8,2.23,3.13,3.98,2.3,3.3,3.98,2.21,3.05,3.7,48.0,2014/2015
SP1,2014-09-20,Athletic Bilbao,Granada,0,1,A,13,3,5,2,14,20,7,5,2,4,0,0,1.44,4.2,7.5,1.44,4.73,8.69,1.5,4.75,8.8,1.43,4.38,7.81,48.0,2014/2015
SP1,2014-09-20,Atletico Madrid,Celta,2,2,D,18,5,8,5,9,17,6,3,1,3,0,0,1.44,4.2,7.5,1.49,4.39,8.26,1.51,4.65,8.6,1.47,4.22,7.4,48.0,2014/2015
SP1,2014-09-20,Espanol,Malaga,2,2,D,13,9,8,3,14,16,7,2,2,3,0,0,2.0,3.3,3.75,2.19,3.35,3.78,2.2,3.4,4.0,2.12,3.26,3.63,48.0,2014/2015
SP1,2014-09-20,Deportivo La Coruna,Real Madrid,2,8,A,14,19,5,13,8,9,2,3,1,1,0,0,9.5,6.0,1.25,11.58,6.39,1.29,12.0,6.41,1.35,10.21,5.8,1.28,47.0,2014/2015
SP1,2014-09-21,Cordoba,Sevilla,1,3,A,9,15,3,8,11,24,7,4,6,2,0,0,3.8,3.3,2.0,4.41,3.5,1.97,4.5,3.6,2.0,4.07,3.32,1.96,46.0,2014/2015
SP1,2014-09-21,Levante,Barcelona,0,5,A,9,17,2,8,13,11,3,6,1,2,1,0,15.0,7.5,1.18,18.43,7.84,1.19,19.62,8.4,1.22,15.43,7.24,1.18,46.0,2014/2015
SP1,2014-09-21,Sociedad,Almeria,1,2,A,22,13,6,5,19,17,13,7,1,6,0,1,1.44,4.5,6.5,1.46,4.85,7.7,1.5,4.85,8.5,1.44,4.4,7.35,48.0,2014/2015
SP1,2014-09-21,Villarreal,Vallecano,4,2,H,19,10,9,3,11,18,11,5,2,2,0,0,1.53,3.8,6.5,1.56,4.37,6.71,1.57,4.5,7.0,1.54,4.03,6.32,45.0,2014/2015
SP1,2014-09-22,Getafe,Valencia,0,3,A,12,7,5,3,25,17,6,1,6,1,0,1,3.6,3.3,2.05,4.03,3.51,2.05,4.05,3.7,2.1,3.76,3.35,2.02,44.0,2014/2015
SP1,2014-09-23,Celta,Deportivo La Coruna,2,1,H,11,5,4,3,15,15,13,4,3,3,0,0,1.57,3.75,6.0,1.62,4.12,6.19,1.7,4.35,6.21,1.59,3.96,5.88,44.0,2014/2015
SP1,2014-09-23,Real Madrid,Elche,5,1,H,23,10,12,3,15,15,8,2,2,1,0,0,1.08,12.0,23.0,1.09,13.49,38.06,1.1,15.0,46.0,1.08,11.78,30.13,44.0,2014/2015
SP1,2014-09-24,Almeria,Atletico Madrid,0,1,A,6,19,1,9,14,16,2,10,3,6,0,0,6.0,3.8,1.57,6.4,4.02,1.62,6.6,4.4,1.7,5.88,3.87,1.6,45.0,2014/2015
SP1,2014-09-24,Eibar,Villarreal,1,1,D,7,15,3,4,14,17,2,10,4,4,0,0,3.4,3.0,2.3,3.62,3.18,2.33,3.65,3.4,2.41,3.33,3.11,2.32,45.0,2014/2015
SP1,2014-09-24,Granada,Levante,0,1,A,8,10,0,4,14,13,5,3,2,6,0,0,1.5,3.9,7.0,1.57,4.15,7.02,1.65,4.51,7.6,1.53,4.0,6.58,45.0,2014/2015
SP1,2014-09-24,Malaga,Barcelona,0,0,D,6,10,2,0,15,13,2,8,2,2,0,0,9.0,5.0,1.33,9.43,5.45,1.37,10.5,5.6,1.38,8.85,5.05,1.35,44.0,2014/2015
SP1,2014-09-24,Sevilla,Sociedad,1,0,H,19,8,8,1,13,7,11,4,6,2,0,0,1.8,3.6,4.33,1.79,4.0,4.7,1.86,4.1,4.9,1.78,3.74,4.4,45.0,2014/2015
SP1,2014-09-24,Vallecano,Athletic Bilbao,2,1,H,15,8,5,3,18,17,1,2,2,2,0,0,3.1,3.4,2.25,3.23,3.59,2.31,3.4,3.59,2.41,3.11,3.37,2.29,45.0,2014/2015
SP1,2014-09-25,Espanol,Getafe,2,0,H,10,6,4,2,16,17,6,4,1,2,0,0,1.67,3.6,5.5,1.72,3.77,5.7,1.8,3.83,6.0,1.7,3.61,5.35,45.0,2014/2015
