Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
SP1,2014-08-23,Almeria,Espanol,1,1,D,19,12,6,2,8,9,11,7,3,2,0,1,2.55,3.3,2.7,2.8,3.29,2.78,2.8,3.35,2.9,2.66,3.18,2.75,49.0,2014/2015,7,4,4,-1,0,0,2,0.36802973977695175,0.2843866171003718,0.3475836431226766,0.06555753614577142,-0.15000000000000036,0.34986343919027474,0.29775611845980826,0.35238044234991706,0.020806455139839475,0.020000000000000018,0.13999999999999968,0.16999999999999993,0.1499999999999999,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.02044609665427516,-0.002517003159642317,0,0,1
SP1,2014-08-23,Granada,Deportivo La Coruna,2,1,H,10,7,3,1,13,26,5,3,1,2,0,0,1.95,3.2,4.2,2.05,3.33,4.31,2.11,3.45,4.4,2.03,3.23,3.99,48.0,2014/2015,3,2,2,-13,-1,1,3,0.48223896663078586,0.2938643702906351,0.2238966630785791,0.06341575091575091,-2.25,0.4781820665482786,0.2943763472744658,0.2274415861772555,0.020123739833999732,-2.26,0.08000000000000007,0.2200000000000002,0.41000000000000014,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.2583423035522068,0.25074048037102314,0,0,0
SP1,2014-08-23,Malaga,Athletic Bilbao,1,0,H,12,12,3,5,13,9,5,4,3,3,2,0,2.8,3.3,2.45,2.96,3.37,2.6,3.07,3.4,2.8,2.83,3.23,2.55,49.0,2014/2015,0,-2,1,4,2,1,1,0.3342981186685962,0.28364688856729375,0.3820549927641099,0.06833642547928265,0.34999999999999964,0.3314770818516109,0.29114900957886297,0.37737390856952624,0.019189127497732716,0.3599999999999999,0.23999999999999977,0.16999999999999993,0.25,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,-0.04775687409551371,-0.04589682671791534,0,0,0
SP1,2014-08-23,Sevilla,Valencia,1,1,D,10,11,3,1,23,8,3,3,4,2,0,1,2.05,3.5,3.5,2.05,3.62,3.9,2.11,3.65,4.0,2.05,3.41,3.66,48.0,2014/2015,-1,2,0,15,1,0,2,0.4605263157894737,0.2697368421052631,0.2697368421052631,0.059233449477352096,-1.4500000000000002,0.47802532674206,0.27070495022685714,0.2512697230310828,0.02045822838168898,-1.85,0.06000000000000005,0.23999999999999977,0.33999999999999986,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.19078947368421056,0.2267556037109772,0,0,0
SP1,2014-08-24,Barcelona,Elche,3,0,H,12,3,6,0,11,13,3,1,0,1,1,0,1.1,9.0,21.0,1.1,13.15,29.7,1.12,14.01,36.0,1.09,10.13,26.0,49.0,2014/2015,9,6,2,-2,0,3,3,0.8513513513513513,0.10405405405405405,0.0445945945945946,0.06782106782106778,-19.9,0.8923096255340538,0.07464186981653682,0.0330485046494094,0.018806570137368528,-28.599999999999998,0.030000000000000027,3.879999999999999,10.0,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.8067567567567567,0.8592611208846443,1,0,0
SP1,2014-08-24,Celta,Getafe,3,1,H,20,12,8,3,19,15,4,4,4,1,0,0,1.91,3.4,4.0,1.92,3.64,4.45,1.95,3.7,4.65,1.89,3.49,4.09,49.0,2014/2015,8,5,0,4,3,2,4,0.4903728275762602,0.2754741472560756,0.23415302516766426,0.06767785648290725,-2.09,0.5104819292296443,0.26926519343981237,0.22025287733054316,0.02027770918220373,-2.5300000000000002,0.06000000000000005,0.20999999999999996,0.5600000000000005,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.256219802408596,0.29022905189910114,0,0,0
SP1,2014-08-24,Eibar,Sociedad,1,0,H,12,19,5,4,13,14,5,6,4,1,0,0,3.25,3.4,2.2,3.53,3.37,2.27,3.61,3.42,2.34,3.32,3.29,2.23,49.0,2014/2015,-7,1,-1,-1,3,1,1,0.29127725856697817,0.27842679127725856,0.43029595015576316,0.05635540929658589,1.0499999999999998,0.27758163365276806,0.29076058361847806,0.4316577827287538,0.020550658385913856,1.2599999999999998,0.29000000000000004,0.1299999999999999,0.10999999999999988,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.139018691588785,-0.15407614907598577,0,0,0
SP1,2014-08-24,Levante,Villarreal,0,2,A,9,12,2,6,11,14,3,4,1,3,0,0,3.4,3.4,2.1,3.84,3.42,2.14,3.85,3.45,2.26,3.54,3.25,2.15,49.0,2014/2015,-3,-4,-1,-3,-2,-2,2,0.27631578947368424,0.27631578947368424,0.4473684210526316,0.06442577030812324,1.2999999999999998,0.25528441672596375,0.2866351345695031,0.45808044870453307,0.02010404711154834,1.6999999999999997,0.31000000000000005,0.20000000000000018,0.10999999999999988,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.17105263157894735,-0.20279603197856932,0,0,0
SP1,2014-08-25,Real Madrid,Cordoba,2,0,H,14,8,8,2,9,13,8,5,1,2,0,0,1.06,11.0,29.0,1.07,16.85,33.5,1.09,18.0,46.08,1.07,12.27,30.06,45.0,2014/2015,6,6,3,-4,-1,2,2,0.8826784726065301,0.08505810736026563,0.032263420033204204,0.0687880759448749,-27.94,0.9128737065365137,0.05796883477709612,0.02915745868639014,0.02377736652989526,-32.43,0.020000000000000018,5.73,16.02,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,0,0,,,,,,,,,,,,,,,,0.8504150525733258,0.8837162478501235,1,0,0
SP1,2014-08-25,Vallecano,Atletico Madrid,0,0,D,8,9,2,2,13,17,2,4,2,2,0,0,7.0,4.0,1.5,7.07,4.45,1.53,7.4,4.55,1.58,6.38,4.15,1.52,45.0,2014/2015,-1,0,-2,-4,0,0,0,0.1348314606741573,0.23595505617977527,0.6292134831460674,0.059523809523809534,5.5,0.1387024289477276,0.22036543205852455,0.6409321389937479,0.019756588065567016,5.54,1.0200000000000005,0.39999999999999947,0.06000000000000005,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,0,0,,,,,,,,,,,,,,,,-0.4943820224719101,-0.5022297100460202,0,1,0
