Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
F1,2014-08-08,Reims,Paris Saint-Germain,2.0,2.0,D,9.0,16.0,3.0,6.0,15.0,16.0,1.0,5.0,0.0,2.0,0.0,0.0,9.5,4.5,1.36,10.88,4.97,1.37,13.0,5.4,1.45,9.68,4.72,1.35,42.0,2014/2015
F1,2014-08-09,Bastia,Marseille,3.0,3.0,D,13.0,9.0,4.0,4.0,25.0,21.0,1.0,4.0,3.0,1.0,0.0,0.0,3.9,3.1,2.05,3.98,3.34,2.11,4.25,3.45,2.12,3.73,3.25,2.04,46.0,2014/2015
F1,2014-08-09,Evian Thonon Gaillard,Caen,0.0,3.0,A,10.0,12.0,2.0,7.0,12.0,9.0,5.0,6.0,1.0,1.0,0.0,0.0,2.38,3.2,3.0,2.44,3.28,3.22,2.5,3.4,3.3,2.37,3.15,3.05,46.0,2014/2015
F1,2014-08-09,Guingamp,Saint-Etienne,0.0,2.0,A,6.0,7.0,3.0,2.0,9.0,19.0,4.0,5.0,3.0,4.0,0.0,0.0,3.3,3.1,2.3,3.45,3.12,2.41,3.4,3.3,2.5,3.19,3.09,2.35,45.0,2014/2015
F1,2014-08-09,Lille,Metz,0.0,0.0,D,14.0,2.0,3.0,1.0,9.0,23.0,8.0,3.0,0.0,1.0,0.0,0.0,1.5,4.1,6.5,1.53,4.13,7.65,1.56,4.2,8.0,1.51,3.9,6.94,46.0,2014/2015
F1,2014-08-09,Montpellier,Bordeaux,0.0,1.0,A,15.0,7.0,3.0,3.0,15.0,21.0,5.0,1.0,2.0,2.0,0.0,0.0,2.3,3.1,3.2,2.53,3.08,3.29,2.56,3.22,3.3,2.39,3.08,3.12,46.0,2014/2015
F1,2014-08-09,Nantes,Lens,1.0,0.0,H,14.0,5.0,4.0,2.0,8.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,3.25,3.9,2.04,3.28,4.36,2.05,3.4,4.4,2.01,3.25,3.88,46.0,2014/2015
F1,2014-08-09,Nice,Toulouse,3.0,2.0,H,22.0,11.0,8.0,3.0,10.0,9.0,12.0,7.0,0.0,1.0,0.0,0.0,2.63,3.1,2.75,2.85,3.09,2.85,2.85,3.2,3.0,2.67,3.03,2.79,45.0,2014/2015
F1,2014-08-10,Lyon,Rennes,2.0,0.0,H,19.0,7.0,6.0,1.0,19.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,1.8,3.4,4.75,1.85,3.52,4.95,1.91,3.55,4.95,1.84,3.38,4.49,46.0,2014/2015
F1,2014-08-10,Monaco,Lorient,1.0,2.0,A,12.0,9.0,7.0,3.0,11.0,19.0,10.0,4.0,3.0,2.0,1.0,0.0,1.4,4.33,8.5,1.42,4.7,9.4,1.45,4.8,10.0,1.4,4.35,8.41,45.0,2014/2015
F1,2014-08-15,Caen,Lille,0.0,1.0,A,11.0,8.0,3.0,1.0,10.0,4.0,3.0,9.0,2.0,2.0,1.0,0.0,3.6,3.1,2.15,3.72,3.21,2.25,4.1,3.37,2.4,3.68,3.2,2.11,48.0,2014/2015
F1,2014-08-16,Metz,Nantes,1.0,1.0,D,12.0,6.0,5.0,2.0,12.0,17.0,4.0,7.0,2.0,1.0,0.0,0.0,2.38,3.0,3.2,2.4,3.14,3.46,2.5,3.35,3.5,2.38,3.06,3.18,49.0,2014/2015
F1,2014-08-16,Lorient,Nice,0.0,0.0,D,13.0,9.0,6.0,2.0,14.0,10.0,8.0,2.0,1.0,1.0,0.0,0.0,1.75,3.4,5.0,1.78,3.55,5.48,1.9,3.6,5.6,1.77,3.4,4.86,49.0,2014/2015
F1,2014-08-16,Lens,Guingamp,0.0,1.0,A,14.0,10.0,4.0,4.0,14.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0,2.88,3.0,2.63,2.89,3.1,2.8,2.94,3.2,3.1,2.77,3.05,2.7,49.0,2014/2015
F1,2014-08-16,Toulouse,Lyon,2.0,1.0,H,10.0,18.0,6.0,3.0,11.0,12.0,6.0,4.0,3.0,1.0,0.0,0.0,2.5,3.25,2.8,2.51,3.27,3.13,2.6,3.35,3.2,2.48,3.18,2.92,49.0,2014/2015
F1,2014-08-16,Rennes,Evian Thonon Gaillard,6.0,2.0,H,9.0,9.0,7.0,3.0,4.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,1.73,3.5,5.0,1.79,3.58,5.22,1.8,3.7,5.4,1.76,3.45,4.85,49.0,2014/2015
F1,2014-08-16,Paris Saint-Germain,Bastia,2.0,0.0,H,15.0,5.0,5.0,1.0,9.0,15.0,4.0,4.0,1.0,3.0,0.0,0.0,1.13,8.0,19.0,1.15,9.0,21.5,1.19,9.2,23.0,1.15,7.78,17.42,48.0,2014/2015
F1,2014-08-17,Bordeaux,Monaco,4.0,1.0,H,9.0,9.0,5.0,3.0,12.0,21.0,3.0,4.0,1.0,3.0,0.0,0.0,2.8,3.2,2.55,3.02,3.22,2.61,3.15,3.3,2.61,2.88,3.15,2.52,49.0,2014/2015
F1,2014-08-17,Marseille,Montpellier,0.0,2.0,A,22.0,10.0,5.0,3.0,18.0,17.0,6.0,1.0,1.0,0.0,0.0,0.0,1.55,3.75,6.5,1.59,3.98,6.9,1.65,4.0,6.9,1.58,3.73,6.15,49.0,2014/2015
F1,2014-08-17,Saint-Etienne,Reims,3.0,1.0,H,19.0,7.0,9.0,2.0,8.0,11.0,6.0,3.0,2.0,2.0,0.0,0.0,1.5,3.75,7.5,1.52,4.2,7.9,1.6,4.2,8.0,1.51,3.87,7.15,49.0,2014/2015
F1,2014-08-22,Evian Thonon Gaillard,Paris Saint-Germain,0.0,0.0,D,9.0,7.0,2.0,3.0,18.0,7.0,5.0,0.0,3.0,2.0,0.0,1.0,9.0,4.6,1.36,10.3,5.12,1.37,10.5,5.3,1.45,8.98,4.79,1.36,49.0,2014/2015
F1,2014-08-23,Bastia,Toulouse,1.0,0.0,H,8.0,14.0,3.0,3.0,13.0,19.0,3.0,0.0,3.0,1.0,0.0,0.0,2.9,3.1,2.5,2.84,3.35,2.68,2.92,3.35,2.8,2.76,3.17,2.61,50.0,2014/2015
F1,2014-08-23,Guingamp,Marseille,0.0,1.0,A,4.0,16.0,2.0,3.0,16.0,14.0,4.0,6.0,1.0,3.0,0.0,0.0,2.9,3.1,2.5,3.03,3.2,2.61,3.3,3.3,2.64,2.96,3.12,2.5,50.0,2014/2015
F1,2014-08-23,Lille,Lorient,2.0,0.0,H,13.0,7.0,6.0,1.0,12.0,8.0,2.0,3.0,0.0,1.0,0.0,0.0,1.75,3.4,5.0,1.79,3.55,5.44,1.85,3.65,5.7,1.77,3.39,5.01,50.0,2014/2015
F1,2014-08-23,Montpellier,Metz,2.0,0.0,H,12.0,12.0,5.0,3.0,13.0,19.0,5.0,5.0,0.0,2.0,0.0,0.0,1.85,3.5,4.2,1.92,3.37,4.82,1.96,3.52,5.2,1.87,3.32,4.49,50.0,2014/2015
