,missing,missing_%
BbMxD,1446,43.22
BbMxH,1446,43.22
OddsSpread_H,1446,43.22
Bb1X2,1446,43.22
BbAvA,1446,43.22
BbAvD,1446,43.22
BbAvH,1446,43.22
BbMxA,1446,43.22
OddsSpread_A,1446,43.22
OddsSpread_D,1446,43.22
SeasonStrength_PtsDiff,92,2.75
SeasonStrength_GDDiff,92,2.75
Away_AvgPts_season,89,2.66
Home_AvgGD_season,89,2.66
Home_AvgPts_season,89,2.66
Away_AvgGD_season,89,2.66
FormDiff_AttDefRatio_last5,22,0.66
FormDiff_GoalsShare_last5,22,0.66
FormDiff_GD_last10,22,0.66
FormDiff_Pts_last10,22,0.66
FormDiff_RecentFormIdx,22,0.66
FormDiff_GD_last3,22,0.66
FormDiff_Pts_last3,22,0.66
FormDiff_Pts_trend_3v10,22,0.66
FormDiff_GD_last5,22,0.66
FormDiff_GA_last5,22,0.66
FormDiff_Pts_last5,22,0.66
FormDiff_GF_last5,22,0.66
Away_Pts_last5,20,0.6
Away_AttDefRatio_last5,20,0.6
Away_GF_last5,20,0.6
Away_GA_last5,20,0.6
Away_GD_last5,20,0.6
Away_RecentFormIdx,20,0.6
Away_Pts_trend_3v10,20,0.6
Away_GD_last10,20,0.6
Away_Pts_last10,20,0.6
Away_GD_last3,20,0.6
Away_Pts_last3,20,0.6
Away_GoalsShare_last5,20,0.6
Home_GF_last5,13,0.39
Home_GA_last5,13,0.39
Home_GD_last5,13,0.39
Home_RecentFormIdx,13,0.39
Home_GoalsShare_last5,13,0.39
Home_Pts_last3,13,0.39
Home_GD_last3,13,0.39
Home_Pts_last10,13,0.39
Home_AttDefRatio_last5,13,0.39
Home_GD_last10,13,0.39
Home_Pts_trend_3v10,13,0.39
Home_Pts_last5,13,0.39
Prob_H_ps,8,0.24
OddsDiff_PS,8,0.24
PSA,8,0.24
Prob_A_ps,8,0.24
Prob_D_ps,8,0.24
Market_ImpliedDiff_ps,8,0.24
Margin_PS,8,0.24
PSH,8,0.24
PSD,8,0.24
Market_ImpliedDiff_b365,3,0.09
B365H,3,0.09
B365A,3,0.09
B365D,3,0.09
OddsDiff_B365,3,0.09
Prob_H_b365,3,0.09
Prob_D_b365,3,0.09
Prob_A_b365,3,0.09
Margin_B365,3,0.09
CornersDiff,1,0.03
HC,1,0.03
HS,1,0.03
AS,1,0.03
HST,1,0.03
AST,1,0.03
HF,1,0.03
AF,1,0.03
AC,1,0.03
ShotsOnTargetDiff,1,0.03
HY,1,0.03
AY,1,0.03
HR,1,0.03
AR,1,0.03
CardsDiff,1,0.03
FoulsDiff,1,0.03
ShotsDiff,1,0.03
Weekday,0,0.0
Market_BigHomeFav,0,0.0
Market_BigAwayFav,0,0.0
IsWeekend,0,0.0
Div,0,0.0
Month,0,0.0
Date,0,0.0
HomeTeam,0,0.0
AwayTeam,0,0.0
FTHG,0,0.0
FTAG,0,0.0
FTR,0,0.0
Season,0,0.0
GoalDiff,0,0.0
TotalGoals,0,0.0
Home_Wins_last5,0,0.0
IsHomeAlways1,0,0.0
Home_CleanSheets_last5,0,0.0
Home_Conceded0plus_last5,0,0.0
Away_Wins_last5,0,0.0
Away_CleanSheets_last5,0,0.0
Away_Conceded0plus_last5,0,0.0
FormDiff_Wins_last5,0,0.0
FormDiff_CleanSheets_last5,0,0.0
FormDiff_Conceded0plus_last5,0,0.0
Market_BalancedMatch,0,0.0
