Drużyna,Łączna liczba punktów
Manchester City,780
Liverpool,680
Arsenal,657
Tottenham,627
Chelsea,620
Manchester United,619
West Ham,461
Everton,440
Leicester,417
Crystal Palace,410
Newcastle,390
Southampton,352
Aston Villa,284
Brighton,278
Burnley,265
Bournemouth,264
Wolverhampton,240
Watford,199
West Brom,189
Stoke,182
Swansea,177
Fulham,153
Brentford,144
Leeds,128
Sunderland,101
Nott'm Forest,74
Hull,69
Norwich,56
Huddersfield,53
Sheffield United,39
Cardiff,34
QPR,30
Middlesbrough,28
Luton,26
