,missing,missing_%
OddsSpread_D,1520,44.44
OddsSpread_H,1520,44.44
BbMxD,1520,44.44
BbMxA,1520,44.44
BbAvH,1520,44.44
BbAvD,1520,44.44
BbAvA,1520,44.44
Bb1X2,1520,44.44
OddsSpread_A,1520,44.44
BbMxH,1520,44.44
SeasonStrength_GDDiff,95,2.78
SeasonStrength_PtsDiff,95,2.78
Away_AvgPts_season,91,2.66
Away_AvgGD_season,91,2.66
Home_AvgGD_season,89,2.6
Home_AvgPts_season,89,2.6
FormDiff_GD_last3,23,0.67
FormDiff_Pts_last10,23,0.67
FormDiff_GD_last10,23,0.67
FormDiff_Pts_trend_3v10,23,0.67
FormDiff_Pts_last5,23,0.67
FormDiff_GoalsShare_last5,23,0.67
FormDiff_GD_last5,23,0.67
FormDiff_GA_last5,23,0.67
FormDiff_Pts_last3,23,0.67
FormDiff_GF_last5,23,0.67
FormDiff_RecentFormIdx,23,0.67
FormDiff_AttDefRatio_last5,23,0.67
Away_GD_last5,18,0.53
Away_Pts_trend_3v10,18,0.53
Away_GA_last5,18,0.53
Away_GD_last10,18,0.53
Away_RecentFormIdx,18,0.53
Away_GoalsShare_last5,18,0.53
Away_AttDefRatio_last5,18,0.53
Away_Pts_last10,18,0.53
Away_GD_last3,18,0.53
Away_Pts_last3,18,0.53
Away_Pts_last5,18,0.53
Away_GF_last5,18,0.53
Home_GD_last10,15,0.44
Home_Pts_last10,15,0.44
Home_GD_last3,15,0.44
Home_Pts_last3,15,0.44
Home_GD_last5,15,0.44
Home_GA_last5,15,0.44
Home_GF_last5,15,0.44
Home_Pts_trend_3v10,15,0.44
Home_Pts_last5,15,0.44
Home_RecentFormIdx,15,0.44
Home_GoalsShare_last5,15,0.44
Home_AttDefRatio_last5,15,0.44
OddsDiff_PS,7,0.2
PSA,7,0.2
Market_ImpliedDiff_ps,7,0.2
PSH,7,0.2
Margin_PS,7,0.2
PSD,7,0.2
Prob_A_ps,7,0.2
Prob_D_ps,7,0.2
Prob_H_ps,7,0.2
B365H,3,0.09
B365A,3,0.09
Market_ImpliedDiff_b365,3,0.09
OddsDiff_B365,3,0.09
B365D,3,0.09
Prob_H_b365,3,0.09
Margin_B365,3,0.09
Prob_A_b365,3,0.09
Prob_D_b365,3,0.09
HY,1,0.03
CardsDiff,1,0.03
IsHomeAlways1,0,0.0
FormDiff_Conceded0plus_last5,0,0.0
FormDiff_CleanSheets_last5,0,0.0
IsWeekend,0,0.0
Weekday,0,0.0
Month,0,0.0
Market_BigHomeFav,0,0.0
Market_BigAwayFav,0,0.0
FormDiff_Wins_last5,0,0.0
Div,0,0.0
Away_Conceded0plus_last5,0,0.0
AY,0,0.0
HomeTeam,0,0.0
AwayTeam,0,0.0
FTHG,0,0.0
FTAG,0,0.0
FTR,0,0.0
HS,0,0.0
AS,0,0.0
HST,0,0.0
AST,0,0.0
HF,0,0.0
AF,0,0.0
HC,0,0.0
AC,0,0.0
HR,0,0.0
Away_CleanSheets_last5,0,0.0
AR,0,0.0
Season,0,0.0
ShotsDiff,0,0.0
ShotsOnTargetDiff,0,0.0
CornersDiff,0,0.0
FoulsDiff,0,0.0
GoalDiff,0,0.0
TotalGoals,0,0.0
Date,0,0.0
Home_Wins_last5,0,0.0
Home_CleanSheets_last5,0,0.0
Home_Conceded0plus_last5,0,0.0
Away_Wins_last5,0,0.0
Market_BalancedMatch,0,0.0
