Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-08-30,Chievo,Juventus,0.0,1.0,A,7.0,21.0,2.0,3.0,13.0,14.0,4.0,11.0,2.0,1.0,0.0,0.0,7.0,4.0,1.5,7.75,4.12,1.54,8.0,4.2,1.56,7.01,3.9,1.53,49.0,2014/2015
I1,2014-08-30,Roma,Fiorentina,2.0,0.0,H,20.0,10.0,5.0,4.0,15.0,17.0,2.0,0.0,4.0,4.0,0.0,0.0,1.67,3.8,5.0,1.74,3.92,5.32,1.81,3.92,5.5,1.73,3.67,4.95,49.0,2014/2015
I1,2014-08-31,Atalanta,Verona,0.0,0.0,D,11.0,9.0,1.0,3.0,17.0,16.0,6.0,2.0,2.0,3.0,0.0,0.0,2.05,3.4,3.6,2.11,3.36,3.95,2.21,3.5,4.0,2.1,3.27,3.62,49.0,2014/2015
I1,2014-08-31,Cesena,Parma,1.0,0.0,H,9.0,12.0,5.0,1.0,10.0,19.0,4.0,7.0,2.0,1.0,0.0,0.0,3.1,3.2,2.35,3.43,3.2,2.4,3.5,3.3,2.46,3.19,3.13,2.36,49.0,2014/2015
I1,2014-08-31,Genoa,Napoli,1.0,2.0,A,11.0,15.0,5.0,5.0,10.0,10.0,7.0,5.0,3.0,1.0,0.0,0.0,3.9,3.4,1.95,4.0,3.58,2.04,4.04,3.57,2.11,3.78,3.37,2.01,49.0,2014/2015
I1,2014-08-31,Milan,Lazio,3.0,1.0,H,7.0,19.0,4.0,4.0,10.0,20.0,0.0,10.0,2.0,3.0,0.0,0.0,2.0,3.4,3.75,2.05,3.51,4.03,2.06,3.65,4.2,1.99,3.37,3.88,48.0,2014/2015
I1,2014-08-31,Palermo,Sampdoria,1.0,1.0,D,8.0,10.0,1.0,3.0,15.0,18.0,1.0,7.0,1.0,2.0,0.0,1.0,2.2,3.25,3.3,2.24,3.29,3.7,2.3,3.3,3.7,2.2,3.2,3.43,48.0,2014/2015
I1,2014-08-31,Sassuolo,Cagliari,1.0,1.0,D,13.0,10.0,5.0,4.0,22.0,26.0,4.0,4.0,3.0,2.0,0.0,0.0,2.3,3.4,3.0,2.32,3.57,3.24,2.42,3.65,3.3,2.31,3.36,3.04,49.0,2014/2015
I1,2014-08-31,Torino,Inter Milan,0.0,0.0,D,11.0,14.0,2.0,2.0,9.0,10.0,6.0,10.0,1.0,1.0,0.0,1.0,3.1,3.3,2.3,3.32,3.46,2.33,3.45,3.55,2.4,3.14,3.28,2.31,46.0,2014/2015
I1,2014-08-31,Udinese,Empoli,2.0,0.0,H,15.0,13.0,5.0,2.0,10.0,9.0,3.0,9.0,2.0,2.0,0.0,0.0,1.8,3.5,4.5,1.83,3.64,5.04,1.86,3.7,5.04,1.81,3.48,4.63,49.0,2014/2015
I1,2014-09-13,Empoli,Roma,0.0,1.0,A,17.0,5.0,3.0,2.0,4.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,5.5,3.75,1.62,6.76,4.21,1.57,7.2,4.33,1.62,6.22,3.9,1.57,46.0,2014/2015
I1,2014-09-13,Juventus,Udinese,2.0,0.0,H,18.0,9.0,7.0,1.0,13.0,14.0,4.0,6.0,0.0,1.0,0.0,0.0,1.4,4.5,8.0,1.42,4.84,9.3,1.45,5.0,10.0,1.39,4.6,8.42,46.0,2014/2015
I1,2014-09-14,Lazio,Cesena,3.0,0.0,H,17.0,7.0,6.0,1.0,26.0,10.0,7.0,1.0,3.0,1.0,0.0,0.0,1.33,5.0,9.0,1.35,5.17,11.74,1.41,5.2,13.0,1.33,4.91,10.27,45.0,2014/2015
I1,2014-09-14,Fiorentina,Genoa,0.0,0.0,D,22.0,6.0,7.0,1.0,13.0,18.0,12.0,3.0,1.0,3.0,0.0,1.0,1.57,3.8,6.0,1.56,4.25,6.98,1.62,4.25,7.0,1.56,3.93,6.3,46.0,2014/2015
I1,2014-09-14,Inter Milan,Sassuolo,7.0,0.0,H,22.0,14.0,11.0,2.0,16.0,12.0,6.0,1.0,0.0,1.0,0.0,1.0,1.44,4.33,7.0,1.47,4.59,8.16,1.51,4.59,8.3,1.46,4.28,7.36,46.0,2014/2015
I1,2014-09-14,Sampdoria,Torino,2.0,0.0,H,8.0,10.0,4.0,0.0,18.0,17.0,3.0,5.0,3.0,4.0,0.0,0.0,2.4,3.1,3.1,2.5,3.22,3.24,2.56,3.25,3.3,2.46,3.13,3.05,46.0,2014/2015
I1,2014-09-14,Napoli,Chievo,0.0,1.0,A,33.0,8.0,9.0,1.0,14.0,12.0,15.0,2.0,2.0,2.0,0.0,0.0,1.36,4.75,8.0,1.39,4.93,10.3,1.41,5.2,11.0,1.35,4.85,9.11,46.0,2014/2015
I1,2014-09-14,Parma,Milan,4.0,5.0,A,11.0,11.0,3.0,7.0,24.0,12.0,5.0,4.0,3.0,1.0,1.0,1.0,2.7,3.2,2.6,2.96,3.42,2.56,2.98,3.45,2.66,2.83,3.29,2.53,46.0,2014/2015
I1,2014-09-14,Cagliari,Atalanta,1.0,2.0,A,19.0,7.0,9.0,3.0,14.0,21.0,7.0,7.0,4.0,4.0,0.0,0.0,2.25,3.4,3.1,2.34,3.48,3.29,2.35,3.5,3.45,2.27,3.35,3.17,46.0,2014/2015
I1,2014-09-15,Verona,Palermo,2.0,1.0,H,14.0,18.0,5.0,4.0,9.0,12.0,10.0,5.0,4.0,2.0,0.0,0.0,2.2,3.3,3.3,2.2,3.44,3.64,2.26,3.5,3.7,2.17,3.29,3.4,43.0,2014/2015
I1,2014-09-20,Cesena,Empoli,2.0,2.0,D,8.0,18.0,5.0,6.0,20.0,9.0,3.0,7.0,4.0,1.0,0.0,0.0,2.8,3.0,2.7,2.92,3.09,2.83,2.94,3.3,2.9,2.78,3.08,2.69,47.0,2014/2015
I1,2014-09-20,Milan,Juventus,0.0,1.0,A,9.0,14.0,3.0,4.0,9.0,18.0,3.0,4.0,2.0,3.0,0.0,0.0,3.2,3.3,2.25,3.46,3.29,2.34,3.5,3.4,2.4,3.31,3.24,2.26,47.0,2014/2015
I1,2014-09-21,Atalanta,Fiorentina,0.0,1.0,A,23.0,16.0,6.0,6.0,10.0,23.0,4.0,7.0,1.0,4.0,0.0,0.0,3.25,3.1,2.3,3.57,3.19,2.34,3.55,3.3,2.5,3.26,3.19,2.31,45.0,2014/2015
I1,2014-09-21,Palermo,Inter Milan,1.0,1.0,D,13.0,13.0,2.0,3.0,16.0,9.0,5.0,2.0,2.0,4.0,0.0,0.0,3.75,3.4,2.0,4.39,3.43,2.0,4.39,3.6,2.1,3.99,3.36,1.97,45.0,2014/2015
I1,2014-09-21,Genoa,Lazio,1.0,0.0,H,9.0,17.0,4.0,7.0,11.0,19.0,3.0,7.0,2.0,1.0,0.0,1.0,3.0,3.0,2.5,3.19,3.17,2.56,3.19,3.3,2.65,2.97,3.16,2.5,46.0,2014/2015
I1,2014-09-21,Chievo,Parma,2.0,3.0,A,11.0,12.0,4.0,4.0,17.0,21.0,4.0,5.0,1.0,4.0,0.0,0.0,2.9,3.1,2.5,3.01,3.16,2.69,3.1,3.2,2.8,2.92,3.1,2.58,47.0,2014/2015
I1,2014-09-21,Roma,Cagliari,2.0,0.0,H,7.0,9.0,3.0,2.0,16.0,13.0,0.0,6.0,1.0,1.0,0.0,0.0,1.3,5.0,11.0,1.3,5.84,12.26,1.33,6.2,13.0,1.29,5.35,10.56,45.0,2014/2015
I1,2014-09-21,Udinese,Napoli,1.0,0.0,H,9.0,10.0,3.0,3.0,12.0,12.0,0.0,9.0,1.0,3.0,0.0,0.0,3.3,3.25,2.2,3.58,3.46,2.22,3.6,3.46,2.3,3.33,3.28,2.22,47.0,2014/2015
I1,2014-09-21,Torino,Verona,0.0,1.0,A,22.0,11.0,4.0,2.0,15.0,8.0,11.0,1.0,3.0,1.0,0.0,0.0,1.91,3.5,4.0,1.9,3.54,4.71,2.0,3.6,4.71,1.89,3.41,4.29,45.0,2014/2015
I1,2014-09-21,Sassuolo,Sampdoria,0.0,0.0,D,14.0,12.0,5.0,3.0,19.0,23.0,3.0,7.0,3.0,2.0,0.0,0.0,2.63,3.2,2.7,2.7,3.31,2.88,2.82,3.35,2.9,2.67,3.21,2.72,47.0,2014/2015
