Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,CardsDiff,GoalDiff,TotalGoals,Prob_H_b365,Prob_D_b365,Prob_A_b365,Margin_B365,OddsDiff_B365,Prob_H_ps,Prob_D_ps,Prob_A_ps,Margin_PS,OddsDiff_PS,OddsSpread_H,OddsSpread_D,OddsSpread_A,Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Wins_last5,Home_CleanSheets_last5,Home_Conceded0plus_last5,Home_Pts_last3,Home_GD_last3,Home_Pts_last10,Home_GD_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Wins_last5,Away_CleanSheets_last5,Away_Conceded0plus_last5,Away_Pts_last3,Away_GD_last3,Away_Pts_last10,Away_GD_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Wins_last5,FormDiff_CleanSheets_last5,FormDiff_Conceded0plus_last5,FormDiff_Pts_last3,FormDiff_GD_last3,FormDiff_Pts_last10,FormDiff_GD_last10,FormDiff_Pts_trend_3v10,IsHomeAlways1,Month,Weekday,IsWeekend,Home_AvgPts_season,Home_AvgGD_season,Away_AvgPts_season,Away_AvgGD_season,SeasonStrength_PtsDiff,SeasonStrength_GDDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx,Market_ImpliedDiff_b365,Market_ImpliedDiff_ps,Market_BigHomeFav,Market_BigAwayFav,Market_BalancedMatch
I1,2014-08-30,Chievo,Juventus,0.0,1.0,A,7.0,21.0,2.0,3.0,13.0,14.0,4.0,11.0,2.0,1.0,0.0,0.0,7.0,4.0,1.5,7.75,4.12,1.54,8.0,4.2,1.56,7.01,3.9,1.53,49.0,2014/2015,-14.0,-1.0,-7.0,-1.0,1.0,-1.0,1.0,0.1348314606741573,0.23595505617977527,0.6292134831460674,0.059523809523809534,5.5,0.12636576923230125,0.23770259989085796,0.6359316308768408,0.02110135401710722,6.21,0.9900000000000002,0.30000000000000027,0.030000000000000027,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,-0.4943820224719101,-0.5095658616445395,0,1,0
I1,2014-08-30,Roma,Fiorentina,2.0,0.0,H,20.0,10.0,5.0,4.0,15.0,17.0,2.0,0.0,4.0,4.0,0.0,0.0,1.67,3.8,5.0,1.74,3.92,5.32,1.81,3.92,5.5,1.73,3.67,4.95,49.0,2014/2015,10.0,1.0,2.0,-2.0,0.0,2.0,2.0,0.5638651471984806,0.24780389363722696,0.18833095916429252,0.061960289946422886,-3.33,0.5646702047005306,0.25064442759666417,0.18468536770280516,0.017784609306517485,-3.58,0.08000000000000007,0.25,0.5499999999999998,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,5,1,,,,,,,,,,,,,,,,0.37553418803418803,0.37998483699772545,0,0,0
I1,2014-08-31,Atalanta,Verona,0.0,0.0,D,11.0,9.0,1.0,3.0,17.0,16.0,6.0,2.0,2.0,3.0,0.0,0.0,2.05,3.4,3.6,2.11,3.36,3.95,2.21,3.5,4.0,2.1,3.27,3.62,49.0,2014/2015,2.0,-2.0,4.0,1.0,-1.0,0.0,0.0,0.4603234298608499,0.27754795035727714,0.26212861978187285,0.05970030288538197,-1.5500000000000003,0.4625018730768292,0.2904401643428898,0.2470579625802809,0.02471725387017254,-1.8400000000000003,0.10999999999999988,0.22999999999999998,0.3799999999999999,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.19819481007897705,0.21544391049654832,0,0,0
I1,2014-08-31,Cesena,Parma,1.0,0.0,H,9.0,12.0,5.0,1.0,10.0,19.0,4.0,7.0,2.0,1.0,0.0,0.0,3.1,3.2,2.35,3.43,3.2,2.4,3.5,3.3,2.46,3.19,3.13,2.36,49.0,2014/2015,-3.0,4.0,-3.0,-9.0,1.0,1.0,1.0,0.3041456016177958,0.2946410515672397,0.4012133468149647,0.06061256005490723,0.75,0.2856292770008926,0.30615888128533175,0.4082118417137757,0.020711856171039766,1.0300000000000002,0.31000000000000005,0.16999999999999993,0.10000000000000009,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.09706774519716888,-0.12258256471288315,0,0,0
I1,2014-08-31,Genoa,Napoli,1.0,2.0,A,11.0,15.0,5.0,5.0,10.0,10.0,7.0,5.0,3.0,1.0,0.0,0.0,3.9,3.4,1.95,4.0,3.58,2.04,4.04,3.57,2.11,3.78,3.37,2.01,49.0,2014/2015,-4.0,0.0,2.0,0.0,2.0,-1.0,3.0,0.24113475177304963,0.276595744680851,0.48226950354609927,0.06334841628959298,1.95,0.24521206586263394,0.2739799618576915,0.48080797227967437,0.01952568736992011,1.96,0.26000000000000023,0.19999999999999973,0.10000000000000009,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.24113475177304963,-0.23559590641704042,0,0,0
I1,2014-08-31,Milan,Lazio,3.0,1.0,H,7.0,19.0,4.0,4.0,10.0,20.0,0.0,10.0,2.0,3.0,0.0,0.0,2.0,3.4,3.75,2.05,3.51,4.03,2.06,3.65,4.2,1.99,3.37,3.88,48.0,2014/2015,-12.0,0.0,-10.0,-10.0,-1.0,2.0,4.0,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.0607843137254902,-1.75,0.47784462693777174,0.2790830442229151,0.24307232883931312,0.02084412076544262,-1.9800000000000004,0.07000000000000006,0.2799999999999998,0.3200000000000003,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.21996303142329016,0.23477229809845862,0,0,0
I1,2014-08-31,Palermo,Sampdoria,1.0,1.0,D,8.0,10.0,1.0,3.0,15.0,18.0,1.0,7.0,1.0,2.0,0.0,1.0,2.2,3.25,3.3,2.24,3.29,3.7,2.3,3.3,3.7,2.2,3.2,3.43,48.0,2014/2015,-2.0,-2.0,-6.0,-3.0,-2.0,0.0,2.0,0.42669584245076586,0.2888402625820569,0.2844638949671772,0.06526806526806528,-1.0999999999999996,0.4373962472961417,0.2978017002867348,0.2648020524171236,0.020650209479996517,-1.46,0.09999999999999964,0.09999999999999964,0.27,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.14223194748358864,0.17259419487901806,0,0,1
I1,2014-08-31,Sassuolo,Cagliari,1.0,1.0,D,13.0,10.0,5.0,4.0,22.0,26.0,4.0,4.0,3.0,2.0,0.0,0.0,2.3,3.4,3.0,2.32,3.57,3.24,2.42,3.65,3.3,2.31,3.36,3.04,49.0,2014/2015,3.0,1.0,0.0,-4.0,1.0,0.0,2.0,0.4093097913322633,0.27688603531300165,0.31380417335473515,0.06223358908780896,-0.7000000000000002,0.42267046700285027,0.2746766060074545,0.3026529269896952,0.01978850288518985,-0.9200000000000004,0.10999999999999988,0.29000000000000004,0.2599999999999998,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.09550561797752816,0.12001754001315507,0,0,1
I1,2014-08-31,Torino,Inter Milan,0.0,0.0,D,11.0,14.0,2.0,2.0,9.0,10.0,6.0,10.0,1.0,1.0,0.0,1.0,3.1,3.3,2.3,3.32,3.46,2.33,3.45,3.55,2.4,3.14,3.28,2.31,46.0,2014/2015,-3.0,0.0,-4.0,-1.0,-1.0,0.0,0.0,0.30420841683366734,0.28577154308617236,0.41002004008016035,0.06039355688724557,0.8000000000000003,0.2954707050863858,0.2835152430308673,0.4210140518827471,0.019406709673793987,0.9899999999999998,0.31000000000000005,0.27,0.08999999999999986,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,-0.10581162324649301,-0.1255433467963613,0,0,0
I1,2014-08-31,Udinese,Empoli,2.0,0.0,H,15.0,13.0,5.0,2.0,10.0,9.0,3.0,9.0,2.0,2.0,0.0,0.0,1.8,3.5,4.5,1.83,3.64,5.04,1.86,3.7,5.04,1.81,3.48,4.63,49.0,2014/2015,2.0,3.0,-6.0,1.0,0.0,2.0,2.0,0.5223880597014926,0.26865671641791045,0.208955223880597,0.06349206349206349,-2.7,0.5359509202453988,0.26944785276073624,0.19460122699386506,0.01958606056966694,-3.21,0.050000000000000044,0.2200000000000002,0.41000000000000014,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,1,8,6,1,,,,,,,,,,,,,,,,0.3134328358208956,0.34134969325153375,0,0,0
