Home_GF_last5,Home_GA_last5,Home_GD_last5,Home_Pts_last5,Home_Pts_last10,Home_Pts_trend_3v10,Away_GF_last5,Away_GA_last5,Away_GD_last5,Away_Pts_last5,Away_Pts_last10,Away_Pts_trend_3v10,FormDiff_GF_last5,FormDiff_GA_last5,FormDiff_GD_last5,FormDiff_Pts_last5,FormDiff_Pts_trend_3v10,Month,Weekday,Home_AvgPts_season,Away_AvgPts_season,SeasonStrength_PtsDiff,Home_AttDefRatio_last5,Home_GoalsShare_last5,Away_AttDefRatio_last5,Away_GoalsShare_last5,FormDiff_AttDefRatio_last5,FormDiff_GoalsShare_last5,Home_RecentFormIdx,Away_RecentFormIdx,FormDiff_RecentFormIdx
1.2,2.4,-1.2,0.6,0.7,-0.7,1.4,2.0,-0.6,1.2,1.4,-0.3999999999999999,-0.5999999999999999,-0.8,0.1999999999999999,0.1999999999999999,1.2333333333333334,12,1,0.7692307692307693,1.25,0.15,0.3529411764705882,0.3332407664537629,0.4666666666666666,0.4116436342252279,-0.1030303030303029,-0.0118435342752028,0.24,1.08,0.8799999999999999
2.0,0.4,1.6,2.4,1.9,1.1,1.6,2.4,-0.8,1.0,1.6,-1.2666666666666668,-0.2000000000000001,-1.4,1.2000000000000002,0.6000000000000001,0.3333333333333333,12,1,1.9166666666666667,1.5833333333333333,0.0,1.4285714285714286,0.8329862557267805,0.4705882352941177,0.3999000249937515,0.2294117647058822,0.1831903540149948,2.76,0.6,0.44
1.6,1.6,0.0,1.4,0.8,1.5333333333333334,1.0,1.6,-0.6,1.4,1.2,0.8,0.3999999999999999,0.7999999999999998,-0.4,-0.5999999999999999,-1.7666666666666668,12,1,1.0,1.3846153846153846,0.04615384615384608,0.6153846153846154,0.499843798812871,0.3846153846153846,0.3844675124951942,0.0271493212669683,-0.0161433872649915,1.96,1.7599999999999998,-1.2399999999999998
1.8,1.8,0.0,1.4,1.1,1.2333333333333334,1.8,1.2,0.6,2.0,1.8,0.5333333333333334,-0.1999999999999999,0.4000000000000001,-0.6,-0.6000000000000001,1.0,12,1,0.9166666666666666,1.5833333333333333,-0.3499999999999999,0.6428571428571429,0.4998611496806442,0.8181818181818181,0.5998000666444518,-0.2027972027972027,-0.0999562678315808,1.96,2.2,-0.2400000000000002
2.0,0.8,1.2,2.2,2.4,-0.7333333333333332,1.6,0.6,1.0,2.4,2.3,0.7000000000000002,0.1999999999999999,0.4,-0.1999999999999999,-0.3999999999999999,-0.1666666666666667,12,1,2.3076923076923075,1.8461538461538465,-0.09230769230769234,1.1111111111111112,0.7140307033202429,1.0,0.7269422989550205,-0.0999999999999999,-0.0843146659668019,1.88,2.76,-0.5599999999999996
2.0,1.6,0.4,1.6,1.7,-0.3666666666666667,0.4,2.6,-2.2,0.0,0.2,-0.2,1.4,-1.8,3.2,2.4,0.2,12,1,1.6153846153846154,0.1666666666666666,0.95,0.7692307692307692,0.5554012774229381,0.1111111111111111,0.133288903698767,0.8888888888888888,0.5587526187925824,1.44,0.0,2.16
1.4,0.8,0.6,1.6,1.8,0.5333333333333334,1.0,1.0,0.0,1.2,1.2,0.8,0.3999999999999999,0.8,-0.4,-0.3999999999999999,-1.6666666666666667,1,3,1.6666666666666667,1.1666666666666667,0.19999999999999993,0.7777777777777777,0.6360745115856429,0.5,0.4997501249375312,0.0,-0.0623868009762691,2.04,1.68,-1.16
1.2,1.8,-0.6,1.2,1.2,-0.1999999999999999,0.8,2.2,-1.4,0.6,0.8,-0.8,1.0,-1.4,2.4,1.2000000000000002,0.9000000000000001,1,3,1.6153846153846154,0.9166666666666666,0.5499999999999999,0.4285714285714286,0.3998667110963012,0.25,0.2665778073975341,0.75,0.4254637150938153,1.08,0.24,1.68
1.4,1.0,0.4,1.6,1.6,-0.9333333333333336,2.0,1.2,0.8,1.8,2.2,-0.2000000000000001,-0.6000000000000001,-0.1999999999999999,-0.4,0.0,0.7000000000000002,1,3,1.5833333333333333,1.9230769230769231,-0.36923076923076925,0.7,0.5830903790087464,0.9090909090909092,0.6248047485160887,-0.2090909090909091,-0.0417143695073423,1.04,1.92,0.0
1.8,1.4,0.4,1.8,1.3,-0.3,1.4,1.8,-0.4,0.8,1.2,-0.8666666666666667,0.6000000000000001,0.0,0.6000000000000001,1.0,1.2666666666666666,1,3,1.3333333333333333,1.3846153846153846,0.0,0.75,0.5623242736644799,0.5,0.4373633239612621,0.2142857142857143,0.0888139977961701,1.32,0.52,1.4
