Position,Team,Played,Won,Draw,Lost,GoalsFor,GoalsAgainst,GoalDiff,Points
1,FC Barcelona,18,15,1,2,51,20,31,46
2,Real Madrid CF,18,13,3,2,36,16,20,42
3,Club Atlético de Madrid,18,11,4,3,33,16,17,37
4,Villarreal CF,16,11,2,3,31,15,16,35
5,RCD Espanyol de Barcelona,17,10,3,4,22,17,5,33
6,Real Betis Balompié,17,7,7,3,29,19,10,28
7,RC Celta de Vigo,17,5,8,4,20,19,1,23
8,Athletic Club,18,7,2,9,16,24,-8,23
9,Elche CF,17,5,7,5,23,20,3,22
10,Sevilla FC,17,6,2,9,24,26,-2,20
11,Getafe CF,17,6,2,9,13,22,-9,20
12,CA Osasuna,17,5,3,9,17,20,-3,18
13,RCD Mallorca,17,4,6,7,19,24,-5,18
14,Deportivo Alavés,17,5,3,9,14,20,-6,18
15,Rayo Vallecano de Madrid,17,4,6,7,13,20,-7,18
16,Real Sociedad de Fútbol,17,4,5,8,21,25,-4,17
17,Valencia CF,17,3,7,7,16,26,-10,16
18,Girona FC,17,3,6,8,15,33,-18,15
19,Real Oviedo,17,2,5,10,7,26,-19,11
20,Levante UD,16,2,4,10,17,29,-12,10
