Position,Team,Played,Won,Draw,Lost,GoalsFor,GoalsAgainst,GoalDiff,Points
1,Racing Club de Lens,16,12,1,3,28,13,15,37
2,Paris Saint-Germain FC,16,11,3,2,35,14,21,36
3,Olympique de Marseille,16,10,2,4,36,15,21,32
4,Lille OSC,16,10,2,4,33,20,13,32
5,Olympique Lyonnais,16,8,3,5,22,16,6,27
6,Stade Rennais FC 1901,16,7,6,3,27,24,3,27
7,RC Strasbourg Alsace,16,7,2,7,25,20,5,23
8,Toulouse FC,16,6,5,5,24,19,5,23
9,AS Monaco FC,16,7,2,7,26,27,-1,23
10,Angers SCO,16,6,4,6,17,18,-1,22
11,Stade Brestois 29,16,5,4,7,21,27,-6,19
12,FC Lorient,16,4,6,6,19,28,-9,18
13,OGC Nice,16,5,2,9,19,29,-10,17
14,Paris FC,16,4,4,8,21,29,-8,16
15,Le Havre AC,16,3,6,7,13,22,-9,15
16,AJ Auxerre,16,3,3,10,14,25,-11,12
17,FC Nantes,16,2,5,9,14,28,-14,11
18,FC Metz,16,3,2,11,17,37,-20,11
