Season,FTR,Percentage
14/15,H,44.961664841182916
14/15,A,29.07995618838992
14/15,D,25.958378970427166
15/16,H,44.359255202628695
15/16,A,29.73713033953998
15/16,D,25.903614457831324
16/17,H,48.63088718510406
16/17,A,28.313253012048197
16/17,D,23.055859802847756
17/18,H,45.34501642935378
17/18,A,30.17524644030668
17/18,D,24.47973713033954
18/19,H,44.74260679079956
18/19,A,29.408543263964948
18/19,D,25.848849945235486
20/21,H,39.86856516976999
20/21,A,34.66593647316539
20/21,D,25.465498357064618
21/22,H,42.77108433734939
21/22,A,31.380065717415118
21/22,D,25.848849945235486
22/23,H,45.728368017524645
22/23,A,30.01095290251917
22/23,D,24.260679079956187
23/24,H,43.09360730593607
23/24,A,30.47945205479452
23/24,D,26.426940639269407
