YearMonth,Accuracy,Model
2022-08,0.5346534653465347,Decision Tree
2022-09,0.41134751773049644,Decision Tree
2022-10,0.4904214559386973,Decision Tree
2022-11,0.5213675213675214,Decision Tree
2022-12,0.631578947368421,Decision Tree
2023-01,0.4421052631578947,Decision Tree
2023-02,0.4951923076923077,Decision Tree
2023-03,0.5165562913907285,Decision Tree
2023-04,0.4653846153846154,Decision Tree
2023-05,0.42105263157894735,Decision Tree
2023-06,0.4666666666666667,Decision Tree
2023-08,0.532258064516129,Decision Tree
2023-09,0.4973544973544973,Decision Tree
2023-10,0.5575757575757576,Decision Tree
2023-11,0.4861111111111111,Decision Tree
2023-12,0.45217391304347826,Decision Tree
2024-01,0.55,Decision Tree
2024-02,0.507537688442211,Decision Tree
2024-03,0.5055555555555555,Decision Tree
2024-04,0.5099009900990099,Decision Tree
2024-05,0.5786516853932584,Decision Tree
