Class,MeanPredictedProb,FractionPositive,Model,League
A,0.08204932921376971,0.07068607068607069,Decision Tree,all_leagues
A,0.17339843078140219,0.15,Decision Tree,all_leagues
A,0.26287836976769885,0.2615979381443299,Decision Tree,all_leagues
A,0.3208009991673717,0.33078393881453155,Decision Tree,all_leagues
A,0.4646590429890474,0.4604966139954853,Decision Tree,all_leagues
A,0.513844252218159,0.5446224256292906,Decision Tree,all_leagues
A,0.6852913173965424,0.7333333333333333,Decision Tree,all_leagues
A,0.7275824357541478,0.7342657342657343,Decision Tree,all_leagues
D,0.06397083853093218,0.3333333333333333,Decision Tree,all_leagues
D,0.14301699447452212,0.15714285714285714,Decision Tree,all_leagues
D,0.25754528137367455,0.2594174757281553,Decision Tree,all_leagues
D,0.31714274142973237,0.2797527047913447,Decision Tree,all_leagues
H,0.08052725148825318,0.0,Decision Tree,all_leagues
H,0.1367390336790603,0.10215053763440861,Decision Tree,all_leagues
H,0.2543879342518107,0.23197115384615385,Decision Tree,all_leagues
H,0.3623993540075597,0.38155515370705245,Decision Tree,all_leagues
H,0.4358658239795098,0.43731778425655976,Decision Tree,all_leagues
H,0.5679248833574344,0.5802139037433155,Decision Tree,all_leagues
H,0.6776344368396148,0.7428571428571429,Decision Tree,all_leagues
H,0.7797747331132597,0.782608695652174,Decision Tree,all_leagues
H,0.8391051533514376,0.8152173913043478,Decision Tree,all_leagues
