feature,importance,Model,League
Prob_H_b365,0.9685319111794373,Decision Tree,all_leagues
Away_Pts_trend_3v10,0.013885364711811845,Decision Tree,all_leagues
SeasonStrength_PtsDiff,0.0066081160245033,Decision Tree,all_leagues
Home_AvgPts_season,0.005792674693342441,Decision Tree,all_leagues
FormDiff_GoalsShare_last5,0.005181933390905079,Decision Tree,all_leagues
FormDiff_Pts_trend_3v10,0.0,Decision Tree,all_leagues
Away_RecentFormIdx,0.0,Decision Tree,all_leagues
Home_RecentFormIdx,0.0,Decision Tree,all_leagues
FormDiff_AttDefRatio_last5,0.0,Decision Tree,all_leagues
Away_GoalsShare_last5,0.0,Decision Tree,all_leagues
Away_AttDefRatio_last5,0.0,Decision Tree,all_leagues
Home_GoalsShare_last5,0.0,Decision Tree,all_leagues
Home_AttDefRatio_last5,0.0,Decision Tree,all_leagues
Away_AvgPts_season,0.0,Decision Tree,all_leagues
Weekday,0.0,Decision Tree,all_leagues
Month,0.0,Decision Tree,all_leagues
FormDiff_Pts_last5,0.0,Decision Tree,all_leagues
Home_GF_last5,0.0,Decision Tree,all_leagues
FormDiff_GD_last5,0.0,Decision Tree,all_leagues
FormDiff_GA_last5,0.0,Decision Tree,all_leagues
FormDiff_GF_last5,0.0,Decision Tree,all_leagues
Away_Pts_last10,0.0,Decision Tree,all_leagues
Away_Pts_last5,0.0,Decision Tree,all_leagues
Away_GD_last5,0.0,Decision Tree,all_leagues
Away_GA_last5,0.0,Decision Tree,all_leagues
Away_GF_last5,0.0,Decision Tree,all_leagues
Home_Pts_trend_3v10,0.0,Decision Tree,all_leagues
Home_Pts_last10,0.0,Decision Tree,all_leagues
Home_Pts_last5,0.0,Decision Tree,all_leagues
Home_GD_last5,0.0,Decision Tree,all_leagues
Home_GA_last5,0.0,Decision Tree,all_leagues
FormDiff_RecentFormIdx,0.0,Decision Tree,all_leagues
