YearMonth,Accuracy,Model
2022-08,0.47029702970297027,Linear Regression (Outcome Regression)
2022-09,0.2907801418439716,Linear Regression (Outcome Regression)
2022-10,0.3563218390804598,Linear Regression (Outcome Regression)
2022-11,0.3162393162393162,Linear Regression (Outcome Regression)
2022-12,0.39473684210526316,Linear Regression (Outcome Regression)
2023-01,0.37894736842105264,Linear Regression (Outcome Regression)
2023-02,0.28365384615384615,Linear Regression (Outcome Regression)
2023-03,0.3973509933774834,Linear Regression (Outcome Regression)
2023-04,0.3153846153846154,Linear Regression (Outcome Regression)
2023-05,0.36403508771929827,Linear Regression (Outcome Regression)
2023-06,0.3,Linear Regression (Outcome Regression)
2023-08,0.3709677419354839,Linear Regression (Outcome Regression)
2023-09,0.4074074074074074,Linear Regression (Outcome Regression)
2023-10,0.41818181818181815,Linear Regression (Outcome Regression)
2023-11,0.4097222222222222,Linear Regression (Outcome Regression)
2023-12,0.3739130434782609,Linear Regression (Outcome Regression)
2024-01,0.42142857142857143,Linear Regression (Outcome Regression)
2024-02,0.3969849246231156,Linear Regression (Outcome Regression)
2024-03,0.3333333333333333,Linear Regression (Outcome Regression)
2024-04,0.38613861386138615,Linear Regression (Outcome Regression)
2024-05,0.38202247191011235,Linear Regression (Outcome Regression)
