YearMonth,Accuracy,Model
2022-08,0.5445544554455446,Logistic Regression
2022-09,0.45390070921985815,Logistic Regression
2022-10,0.4904214559386973,Logistic Regression
2022-11,0.5042735042735043,Logistic Regression
2022-12,0.6052631578947368,Logistic Regression
2023-01,0.49473684210526314,Logistic Regression
2023-02,0.5096153846153846,Logistic Regression
2023-03,0.5231788079470199,Logistic Regression
2023-04,0.49230769230769234,Logistic Regression
2023-05,0.4605263157894737,Logistic Regression
2023-06,0.43333333333333335,Logistic Regression
2023-08,0.5241935483870968,Logistic Regression
2023-09,0.4973544973544973,Logistic Regression
2023-10,0.5636363636363636,Logistic Regression
2023-11,0.5347222222222222,Logistic Regression
2023-12,0.44782608695652176,Logistic Regression
2024-01,0.5642857142857143,Logistic Regression
2024-02,0.5326633165829145,Logistic Regression
2024-03,0.5277777777777778,Logistic Regression
2024-04,0.5,Logistic Regression
2024-05,0.5561797752808989,Logistic Regression
