feature,A_coef,D_coef,H_coef,Model,League
Prob_H_b365,-0.14683912678255623,-0.10953287563616677,0.25637200241872327,Logistic Regression,all_leagues
Home_GF_last5,0.012985696807500465,-0.01706102021655388,0.00407532340905339,Logistic Regression,all_leagues
Home_GA_last5,-0.047833681096342506,0.039896453201421586,0.007937227894920735,Logistic Regression,all_leagues
Home_GD_last5,0.03841762535728906,-0.02632863195832658,-0.012088993398962503,Logistic Regression,all_leagues
Home_Pts_last5,0.008307769317001345,0.014974449773548299,-0.023282219090549915,Logistic Regression,all_leagues
Home_Pts_last10,0.03653815267294559,-0.018614530376173503,-0.017923622296772412,Logistic Regression,all_leagues
Home_Pts_trend_3v10,-0.0031128259433453407,-0.012476988624706776,0.0155898145680525,Logistic Regression,all_leagues
Away_GF_last5,0.002473887523849194,0.004891570165837666,-0.0073654576896869306,Logistic Regression,all_leagues
Away_GA_last5,-0.006366741710834269,-0.00759282917431515,0.013959570885149068,Logistic Regression,all_leagues
Away_GD_last5,0.005448794328696391,0.012035719316952851,-0.01748451364564922,Logistic Regression,all_leagues
Away_Pts_last5,-0.023851368549792314,0.014864043562250606,0.00898732498754203,Logistic Regression,all_leagues
Away_Pts_last10,-0.011902367431292752,-0.016743788934395685,0.02864615636568849,Logistic Regression,all_leagues
Away_Pts_trend_3v10,-0.018115663049790977,0.0299404638885388,-0.011824800838747809,Logistic Regression,all_leagues
FormDiff_GF_last5,0.00689042198252899,0.0027974309090586557,-0.009687852891587648,Logistic Regression,all_leagues
FormDiff_GA_last5,0.02538045259156072,-3.115330784091917e-05,-0.025349299283719658,Logistic Regression,all_leagues
FormDiff_GD_last5,-0.010587995148634953,0.0019082007721132053,0.008679794376521595,Logistic Regression,all_leagues
FormDiff_Pts_last5,0.00035541032593541886,0.02173176185273019,-0.022087172178665612,Logistic Regression,all_leagues
FormDiff_Pts_trend_3v10,-0.017106049862934663,0.021293324143676746,-0.004187274280742352,Logistic Regression,all_leagues
Month,-0.0035826831132449418,0.027585359898865007,-0.02400267678562033,Logistic Regression,all_leagues
Weekday,0.011438612975129287,-0.001198541117014935,-0.01024007185811426,Logistic Regression,all_leagues
Home_AvgPts_season,-0.02943043388299242,0.0210743043127434,0.008356129570249117,Logistic Regression,all_leagues
Away_AvgPts_season,0.01038438371003009,-0.010736407851579022,0.00035202414154904266,Logistic Regression,all_leagues
SeasonStrength_PtsDiff,-0.011862635535319343,0.002975710163181085,0.0088869253721382,Logistic Regression,all_leagues
Home_AttDefRatio_last5,0.0182806241826113,-0.03864777974793951,0.02036715556532823,Logistic Regression,all_leagues
Home_GoalsShare_last5,-0.0818441770740582,0.05541474796387479,0.026429429110183873,Logistic Regression,all_leagues
Away_AttDefRatio_last5,0.015028712427545575,-0.013962528131692688,-0.0010661842958529658,Logistic Regression,all_leagues
Away_GoalsShare_last5,-0.07967169815146054,0.05730029820842948,0.022371399943030876,Logistic Regression,all_leagues
FormDiff_AttDefRatio_last5,-0.016464911653607247,0.005052292902797554,0.011412618750809825,Logistic Regression,all_leagues
FormDiff_GoalsShare_last5,-0.023125747106323234,0.011054630701105267,0.01207111640521804,Logistic Regression,all_leagues
Home_RecentFormIdx,0.01853964105416315,-0.009040061486022134,-0.009499579568141108,Logistic Regression,all_leagues
Away_RecentFormIdx,-0.02306008604973121,0.013074259910321991,0.009985826139409487,Logistic Regression,all_leagues
FormDiff_RecentFormIdx,0.0005422250985549215,0.02025847279654011,-0.02080069789509521,Logistic Regression,all_leagues
Market_ImpliedDiff_b365,-0.20471892364517746,0.051796422197541894,0.15292250144763528,Logistic Regression,all_leagues
Market_ImpliedDiff_ps,-0.22219030882146032,0.05073801338239203,0.17145229543906818,Logistic Regression,all_leagues
Market_BigHomeFav,0.005437824395801549,-0.04474325513740007,0.039305430741598577,Logistic Regression,all_leagues
Market_BigAwayFav,0.047958119425392146,-0.05456478895165256,0.006606669526260439,Logistic Regression,all_leagues
Market_BalancedMatch,-0.03159885050189423,0.030146346430937058,0.0014525040709570565,Logistic Regression,all_leagues
