YearMonth,Accuracy,Model
2022-08,0.5445544554455446,Random Forest
2022-09,0.45390070921985815,Random Forest
2022-10,0.5057471264367817,Random Forest
2022-11,0.5213675213675214,Random Forest
2022-12,0.6578947368421053,Random Forest
2023-01,0.4473684210526316,Random Forest
2023-02,0.5,Random Forest
2023-03,0.5165562913907285,Random Forest
2023-04,0.47307692307692306,Random Forest
2023-05,0.4298245614035088,Random Forest
2023-06,0.4666666666666667,Random Forest
2023-08,0.5483870967741935,Random Forest
2023-09,0.5079365079365079,Random Forest
2023-10,0.5878787878787879,Random Forest
2023-11,0.4722222222222222,Random Forest
2023-12,0.45217391304347826,Random Forest
2024-01,0.5785714285714286,Random Forest
2024-02,0.5276381909547738,Random Forest
2024-03,0.5222222222222223,Random Forest
2024-04,0.5,Random Forest
2024-05,0.5842696629213483,Random Forest
