feature,importance,Model,League
Prob_H_b365,0.18560007,XGBoost,all_leagues
FormDiff_GD_last5,0.029796822,XGBoost,all_leagues
FormDiff_GoalsShare_last5,0.028907117,XGBoost,all_leagues
Home_GoalsShare_last5,0.02874704,XGBoost,all_leagues
Away_Pts_last10,0.02837964,XGBoost,all_leagues
Away_GoalsShare_last5,0.028110653,XGBoost,all_leagues
FormDiff_AttDefRatio_last5,0.02801735,XGBoost,all_leagues
Away_AttDefRatio_last5,0.027816206,XGBoost,all_leagues
SeasonStrength_PtsDiff,0.027542973,XGBoost,all_leagues
Home_AttDefRatio_last5,0.02720609,XGBoost,all_leagues
Home_Pts_trend_3v10,0.026983779,XGBoost,all_leagues
Home_RecentFormIdx,0.026954269,XGBoost,all_leagues
FormDiff_RecentFormIdx,0.026893742,XGBoost,all_leagues
Away_RecentFormIdx,0.026817152,XGBoost,all_leagues
Home_Pts_last5,0.0265558,XGBoost,all_leagues
FormDiff_Pts_trend_3v10,0.026033068,XGBoost,all_leagues
Home_AvgPts_season,0.02600373,XGBoost,all_leagues
Home_GD_last5,0.025691193,XGBoost,all_leagues
Away_AvgPts_season,0.025675802,XGBoost,all_leagues
FormDiff_Pts_last5,0.025666678,XGBoost,all_leagues
Away_GA_last5,0.0255071,XGBoost,all_leagues
Away_Pts_trend_3v10,0.02545242,XGBoost,all_leagues
Home_Pts_last10,0.02543632,XGBoost,all_leagues
Away_GF_last5,0.025101813,XGBoost,all_leagues
FormDiff_GF_last5,0.02505526,XGBoost,all_leagues
Away_Pts_last5,0.024936756,XGBoost,all_leagues
Home_GA_last5,0.02472291,XGBoost,all_leagues
Away_GD_last5,0.02449138,XGBoost,all_leagues
Weekday,0.024168411,XGBoost,all_leagues
Home_GF_last5,0.023946958,XGBoost,all_leagues
FormDiff_GA_last5,0.023900958,XGBoost,all_leagues
Month,0.023880528,XGBoost,all_leagues
