Season,FTR,Percentage
14/15,H,47.385620915032675
14/15,D,26.797385620915033
14/15,A,25.816993464052292
15/16,H,44.11764705882353
15/16,A,32.6797385620915
15/16,D,23.202614379084967
16/17,H,49.01960784313725
16/17,A,26.797385620915033
16/17,D,24.18300653594771
17/18,H,45.42483660130719
17/18,A,27.450980392156865
17/18,D,27.124183006535947
18/19,H,45.09803921568628
18/19,A,31.045751633986928
18/19,D,23.856209150326798
20/21,H,42.15686274509804
20/21,A,31.372549019607842
20/21,D,26.47058823529412
21/22,H,46.73202614379085
21/22,A,29.411764705882355
21/22,D,23.856209150326798
22/23,H,47.385620915032675
22/23,A,28.104575163398692
22/23,D,24.509803921568626
23/24,H,43.790849673202615
23/24,A,29.73856209150327
23/24,D,26.47058823529412
