YearMonth,Accuracy,Model
2022-08,0.3888888888888889,Decision Tree
2022-09,0.35714285714285715,Decision Tree
2022-10,0.4318181818181818,Decision Tree
2022-11,0.48148148148148145,Decision Tree
2023-01,0.37037037037037035,Decision Tree
2023-02,0.4166666666666667,Decision Tree
2023-03,0.32142857142857145,Decision Tree
2023-04,0.3409090909090909,Decision Tree
2023-05,0.4166666666666667,Decision Tree
2023-08,0.5,Decision Tree
2023-09,0.5,Decision Tree
2023-10,0.4482758620689655,Decision Tree
2023-11,0.48148148148148145,Decision Tree
2023-12,0.45714285714285713,Decision Tree
2024-01,0.5185185185185185,Decision Tree
2024-02,0.4594594594594595,Decision Tree
2024-03,0.5277777777777778,Decision Tree
2024-04,0.5555555555555556,Decision Tree
2024-05,0.5555555555555556,Decision Tree
