Class,MeanPredictedProb,FractionPositive,Model,League
A,0.06534611831400777,0.06060606060606061,Decision Tree,bundesliga
A,0.1560874841146031,0.12403100775193798,Decision Tree,bundesliga
A,0.24821021165475632,0.19318181818181818,Decision Tree,bundesliga
A,0.35242679068278276,0.36813186813186816,Decision Tree,bundesliga
A,0.4381181825570943,0.5454545454545454,Decision Tree,bundesliga
A,0.5360237705089405,0.7083333333333334,Decision Tree,bundesliga
D,0.19265033631059533,0.24074074074074073,Decision Tree,bundesliga
D,0.2514387984059366,0.25393700787401574,Decision Tree,bundesliga
D,0.3168982723787036,0.28,Decision Tree,bundesliga
H,0.258186194281525,0.2037037037037037,Decision Tree,bundesliga
H,0.36187007552315675,0.3131868131868132,Decision Tree,bundesliga
H,0.4479684582411037,0.47530864197530864,Decision Tree,bundesliga
H,0.5573400440831903,0.5789473684210527,Decision Tree,bundesliga
H,0.62743078703288,0.6271186440677966,Decision Tree,bundesliga
H,0.7309233456240636,0.7560975609756098,Decision Tree,bundesliga
