feature,importance,Model,League
Prob_H_b365,0.5688518628937916,Decision Tree,bundesliga
Away_Pts_last10,0.04024996666539459,Decision Tree,bundesliga
FormDiff_GF_last5,0.03925180734361781,Decision Tree,bundesliga
Home_GoalsShare_last5,0.03554058045488726,Decision Tree,bundesliga
SeasonStrength_PtsDiff,0.03134889482194994,Decision Tree,bundesliga
Away_GA_last5,0.030514428791124232,Decision Tree,bundesliga
FormDiff_Pts_trend_3v10,0.028339689253784644,Decision Tree,bundesliga
FormDiff_GD_last5,0.024080402677657806,Decision Tree,bundesliga
Away_AttDefRatio_last5,0.02313035466301133,Decision Tree,bundesliga
Home_AvgPts_season,0.02062249678999011,Decision Tree,bundesliga
FormDiff_GA_last5,0.019713977269727748,Decision Tree,bundesliga
FormDiff_GoalsShare_last5,0.01921257704871162,Decision Tree,bundesliga
Away_Pts_trend_3v10,0.01916438954143107,Decision Tree,bundesliga
Away_AvgPts_season,0.018373031691195422,Decision Tree,bundesliga
Home_RecentFormIdx,0.017840341797062717,Decision Tree,bundesliga
FormDiff_AttDefRatio_last5,0.015289159721569768,Decision Tree,bundesliga
Home_GD_last5,0.014593251938874216,Decision Tree,bundesliga
Home_Pts_last5,0.0144995902314617,Decision Tree,bundesliga
Home_Pts_trend_3v10,0.010545538050082832,Decision Tree,bundesliga
Month,0.008837658354673683,Decision Tree,bundesliga
Home_AttDefRatio_last5,0.0,Decision Tree,bundesliga
Away_GoalsShare_last5,0.0,Decision Tree,bundesliga
Away_RecentFormIdx,0.0,Decision Tree,bundesliga
FormDiff_Pts_last5,0.0,Decision Tree,bundesliga
Weekday,0.0,Decision Tree,bundesliga
Home_GF_last5,0.0,Decision Tree,bundesliga
Away_Pts_last5,0.0,Decision Tree,bundesliga
Away_GD_last5,0.0,Decision Tree,bundesliga
Away_GF_last5,0.0,Decision Tree,bundesliga
Home_Pts_last10,0.0,Decision Tree,bundesliga
Home_GA_last5,0.0,Decision Tree,bundesliga
FormDiff_RecentFormIdx,0.0,Decision Tree,bundesliga
