YearMonth,Accuracy,Model
2022-08,0.4166666666666667,Linear Regression (Outcome Regression)
2022-09,0.35714285714285715,Linear Regression (Outcome Regression)
2022-10,0.29545454545454547,Linear Regression (Outcome Regression)
2022-11,0.2222222222222222,Linear Regression (Outcome Regression)
2023-01,0.37037037037037035,Linear Regression (Outcome Regression)
2023-02,0.25,Linear Regression (Outcome Regression)
2023-03,0.5,Linear Regression (Outcome Regression)
2023-04,0.36363636363636365,Linear Regression (Outcome Regression)
2023-05,0.3055555555555556,Linear Regression (Outcome Regression)
2023-08,0.2777777777777778,Linear Regression (Outcome Regression)
2023-09,0.38235294117647056,Linear Regression (Outcome Regression)
2023-10,0.3448275862068966,Linear Regression (Outcome Regression)
2023-11,0.5555555555555556,Linear Regression (Outcome Regression)
2023-12,0.4,Linear Regression (Outcome Regression)
2024-01,0.37037037037037035,Linear Regression (Outcome Regression)
2024-02,0.5405405405405406,Linear Regression (Outcome Regression)
2024-03,0.3611111111111111,Linear Regression (Outcome Regression)
2024-04,0.3333333333333333,Linear Regression (Outcome Regression)
2024-05,0.4074074074074074,Linear Regression (Outcome Regression)
