feature,A_coef,D_coef,H_coef,Model,League
Prob_H_b365,-0.11962118885050725,-0.021163557856066457,0.14078474670657365,Logistic Regression,bundesliga
Home_GF_last5,-0.015341973141102491,0.011172907207997481,0.004169065933105104,Logistic Regression,bundesliga
Home_GA_last5,-0.03260780269178816,0.04651673207697989,-0.01390892938519171,Logistic Regression,bundesliga
Home_GD_last5,0.00952151124701046,-0.020717923396780597,0.01119641214977015,Logistic Regression,bundesliga
Home_Pts_last5,0.0010258538254748159,0.01946691468750917,-0.020492768512983966,Logistic Regression,bundesliga
Home_Pts_last10,0.01577792229067636,-0.031590397332103407,0.01581247504142718,Logistic Regression,bundesliga
Home_Pts_trend_3v10,0.023468668264793772,-0.004141422149438964,-0.01932724611535481,Logistic Regression,bundesliga
Away_GF_last5,-0.025197949013780908,0.04890036721982039,-0.023702418206039733,Logistic Regression,bundesliga
Away_GA_last5,-0.018059233348426386,0.016638216368590846,0.001421016979835728,Logistic Regression,bundesliga
Away_GD_last5,-0.006588835940872487,0.023593312523955978,-0.017004476583083326,Logistic Regression,bundesliga
Away_Pts_last5,-0.05444417024314092,0.020143683843858822,0.034300486399282154,Logistic Regression,bundesliga
Away_Pts_last10,0.022557841722981278,-0.03776593790296758,0.01520809617998649,Logistic Regression,bundesliga
Away_Pts_trend_3v10,-0.009691260022465899,0.023396731304327383,-0.013705471281861533,Logistic Regression,bundesliga
FormDiff_GF_last5,0.011354002998680387,-0.01968361720309016,0.008329614204409804,Logistic Regression,bundesliga
FormDiff_GA_last5,0.015689006490330348,-0.0012268361046465278,-0.014462170385683702,Logistic Regression,bundesliga
FormDiff_GD_last5,-0.0017110522875919659,-0.012559554480425117,0.014270606768017067,Logistic Regression,bundesliga
FormDiff_Pts_last5,0.028237286023615988,0.014625110930824687,-0.04286239695444076,Logistic Regression,bundesliga
FormDiff_Pts_trend_3v10,0.0006435553638749138,0.015734261827525416,-0.016377817191400433,Logistic Regression,bundesliga
Month,-0.003934985291690407,0.03249061735960392,-0.02855563206791349,Logistic Regression,bundesliga
Weekday,-0.009029246155946028,0.0056093536735977905,0.003419892482348156,Logistic Regression,bundesliga
Home_AvgPts_season,-0.07082639269983923,0.0478261123178321,0.023000280382007025,Logistic Regression,bundesliga
Away_AvgPts_season,0.0025813971409570408,0.01062592417487686,-0.013207321315833775,Logistic Regression,bundesliga
SeasonStrength_PtsDiff,-0.05177016708204177,0.02557531232630803,0.026194854755733833,Logistic Regression,bundesliga
Home_AttDefRatio_last5,-0.002865558644277252,-0.012792135085478735,0.015657693729755916,Logistic Regression,bundesliga
Home_GoalsShare_last5,-0.03875911502053849,0.028056243207725515,0.010702871812813033,Logistic Regression,bundesliga
Away_AttDefRatio_last5,0.040177857228721144,-0.025140560497419844,-0.015037296731301296,Logistic Regression,bundesliga
Away_GoalsShare_last5,-0.020462552900617978,0.015561766811869594,0.00490078608874852,Logistic Regression,bundesliga
FormDiff_AttDefRatio_last5,-0.035835849731888865,0.019052078165195715,0.016783771566693254,Logistic Regression,bundesliga
FormDiff_GoalsShare_last5,-0.02249351798224222,0.023413217156529723,-0.0009196991742876445,Logistic Regression,bundesliga
Home_RecentFormIdx,0.019052775982468583,-0.008793152664036323,-0.01025962331843222,Logistic Regression,bundesliga
Away_RecentFormIdx,-0.014732337470384833,0.0018743786106027397,0.012857958859782139,Logistic Regression,bundesliga
FormDiff_RecentFormIdx,0.007257260038781135,0.013088020844674822,-0.02034528088345582,Logistic Regression,bundesliga
Market_ImpliedDiff_b365,-0.13384002561181454,0.011412747805816097,0.12242727780599838,Logistic Regression,bundesliga
Market_ImpliedDiff_ps,-0.13191093406054777,0.0022983963074723617,0.1296125377530751,Logistic Regression,bundesliga
Market_BigHomeFav,-0.04158531960999963,-0.02161093711387922,0.06319625672387881,Logistic Regression,bundesliga
Market_BigAwayFav,0.051173710912324005,-0.06484428716176384,0.013670576249439731,Logistic Regression,bundesliga
Market_BalancedMatch,-0.021800206158346984,0.046691106425163616,-0.024890900266816687,Logistic Regression,bundesliga
