feature,importance,Model,League
Prob_H_b365,0.069234885,XGBoost,bundesliga
SeasonStrength_PtsDiff,0.042676277,XGBoost,bundesliga
FormDiff_AttDefRatio_last5,0.035770237,XGBoost,bundesliga
Home_GoalsShare_last5,0.034323808,XGBoost,bundesliga
FormDiff_GoalsShare_last5,0.03323501,XGBoost,bundesliga
FormDiff_RecentFormIdx,0.032771874,XGBoost,bundesliga
Away_RecentFormIdx,0.03270073,XGBoost,bundesliga
Away_GoalsShare_last5,0.032090228,XGBoost,bundesliga
Away_AttDefRatio_last5,0.031449206,XGBoost,bundesliga
Away_Pts_trend_3v10,0.031171778,XGBoost,bundesliga
Home_RecentFormIdx,0.030215014,XGBoost,bundesliga
FormDiff_Pts_trend_3v10,0.030077212,XGBoost,bundesliga
Home_Pts_trend_3v10,0.029984497,XGBoost,bundesliga
Away_GA_last5,0.029739387,XGBoost,bundesliga
Home_AvgPts_season,0.029687898,XGBoost,bundesliga
Home_GA_last5,0.029289695,XGBoost,bundesliga
Away_AvgPts_season,0.029255318,XGBoost,bundesliga
Home_GD_last5,0.029226203,XGBoost,bundesliga
FormDiff_GD_last5,0.029176215,XGBoost,bundesliga
Home_Pts_last5,0.0289353,XGBoost,bundesliga
FormDiff_GF_last5,0.02861725,XGBoost,bundesliga
Away_Pts_last5,0.028548257,XGBoost,bundesliga
Away_GF_last5,0.028547844,XGBoost,bundesliga
Home_AttDefRatio_last5,0.02852917,XGBoost,bundesliga
Home_Pts_last10,0.027904758,XGBoost,bundesliga
FormDiff_Pts_last5,0.02788095,XGBoost,bundesliga
Month,0.027704485,XGBoost,bundesliga
Away_Pts_last10,0.027651748,XGBoost,bundesliga
FormDiff_GA_last5,0.027159467,XGBoost,bundesliga
Away_GD_last5,0.026048213,XGBoost,bundesliga
Home_GF_last5,0.02550866,XGBoost,bundesliga
Weekday,0.024888441,XGBoost,bundesliga
