Season,FTR,Percentage
14/15,H,45.0
14/15,A,31.05263157894737
14/15,D,23.94736842105263
15/16,H,48.1578947368421
15/16,A,27.631578947368425
15/16,D,24.210526315789473
16/17,H,47.63157894736842
16/17,A,28.947368421052634
16/17,D,23.42105263157895
17/18,H,47.10526315789474
17/18,A,30.263157894736842
17/18,D,22.63157894736842
18/19,H,44.21052631578947
18/19,D,28.947368421052634
18/19,A,26.842105263157894
20/21,H,41.578947368421055
20/21,A,29.736842105263158
20/21,D,28.68421052631579
21/22,H,43.42105263157895
21/22,D,29.210526315789476
21/22,A,27.368421052631582
22/23,H,47.89473684210526
22/23,A,28.68421052631579
22/23,D,23.42105263157895
23/24,H,43.94736842105263
23/24,D,28.157894736842103
23/24,A,27.89473684210526
