YearMonth,Accuracy,Model
2022-08,0.5666666666666667,Decision Tree
2022-09,0.5161290322580645,Decision Tree
2022-10,0.3898305084745763,Decision Tree
2022-11,0.3,Decision Tree
2022-12,0.6,Decision Tree
2023-01,0.39473684210526316,Decision Tree
2023-02,0.5714285714285714,Decision Tree
2023-03,0.4838709677419355,Decision Tree
2023-04,0.5263157894736842,Decision Tree
2023-05,0.34615384615384615,Decision Tree
2023-06,0.6,Decision Tree
2023-08,0.36666666666666664,Decision Tree
2023-09,0.5909090909090909,Decision Tree
2023-10,0.4,Decision Tree
2023-11,0.5666666666666667,Decision Tree
2023-12,0.43902439024390244,Decision Tree
2024-01,0.4358974358974359,Decision Tree
2024-02,0.4,Decision Tree
2024-03,0.48717948717948717,Decision Tree
2024-04,0.5,Decision Tree
2024-05,0.56,Decision Tree
