Class,MeanPredictedProb,FractionPositive,Model,League
A,0.083054372336543,0.0379746835443038,Decision Tree,la_liga
A,0.16719185452544102,0.1523809523809524,Decision Tree,la_liga
A,0.26880086199551356,0.21,Decision Tree,la_liga
A,0.32190852614964277,0.33480176211453744,Decision Tree,la_liga
A,0.4814316851657951,0.5777777777777777,Decision Tree,la_liga
A,0.5191709846397168,0.5714285714285714,Decision Tree,la_liga
A,0.652893111388897,0.5555555555555556,Decision Tree,la_liga
A,0.7202645678025432,1.0,Decision Tree,la_liga
D,0.15833995403325632,0.19801980198019803,Decision Tree,la_liga
D,0.26805589587082274,0.26634382566585957,Decision Tree,la_liga
D,0.3234328088255706,0.2682926829268293,Decision Tree,la_liga
H,0.16812961053771408,0.1896551724137931,Decision Tree,la_liga
H,0.22999448983340265,0.18604651162790697,Decision Tree,la_liga
H,0.34919943172926093,0.33136094674556216,Decision Tree,la_liga
H,0.4352845506888575,0.4620253164556962,Decision Tree,la_liga
H,0.5506512260933871,0.6051282051282051,Decision Tree,la_liga
H,0.6793382299153065,1.0,Decision Tree,la_liga
H,0.750242465568363,0.7790697674418605,Decision Tree,la_liga
H,0.8069751638314656,1.0,Decision Tree,la_liga
