feature,importance,Model,League
Prob_H_b365,0.8549384215724714,Decision Tree,la_liga
SeasonStrength_PtsDiff,0.051531083419217416,Decision Tree,la_liga
Home_AvgPts_season,0.04034106831785303,Decision Tree,la_liga
FormDiff_AttDefRatio_last5,0.017061236645253226,Decision Tree,la_liga
FormDiff_GA_last5,0.01571145092471117,Decision Tree,la_liga
Home_RecentFormIdx,0.01286009710224868,Decision Tree,la_liga
Away_GA_last5,0.007556642018245152,Decision Tree,la_liga
Away_AttDefRatio_last5,0.0,Decision Tree,la_liga
FormDiff_Pts_trend_3v10,0.0,Decision Tree,la_liga
Home_GoalsShare_last5,0.0,Decision Tree,la_liga
Home_AttDefRatio_last5,0.0,Decision Tree,la_liga
Away_GoalsShare_last5,0.0,Decision Tree,la_liga
Away_AvgPts_season,0.0,Decision Tree,la_liga
FormDiff_GoalsShare_last5,0.0,Decision Tree,la_liga
Away_RecentFormIdx,0.0,Decision Tree,la_liga
Weekday,0.0,Decision Tree,la_liga
Month,0.0,Decision Tree,la_liga
FormDiff_Pts_last5,0.0,Decision Tree,la_liga
Home_GF_last5,0.0,Decision Tree,la_liga
FormDiff_GD_last5,0.0,Decision Tree,la_liga
FormDiff_GF_last5,0.0,Decision Tree,la_liga
Away_Pts_trend_3v10,0.0,Decision Tree,la_liga
Away_Pts_last10,0.0,Decision Tree,la_liga
Away_Pts_last5,0.0,Decision Tree,la_liga
Away_GD_last5,0.0,Decision Tree,la_liga
Away_GF_last5,0.0,Decision Tree,la_liga
Home_Pts_trend_3v10,0.0,Decision Tree,la_liga
Home_Pts_last10,0.0,Decision Tree,la_liga
Home_Pts_last5,0.0,Decision Tree,la_liga
Home_GD_last5,0.0,Decision Tree,la_liga
Home_GA_last5,0.0,Decision Tree,la_liga
FormDiff_RecentFormIdx,0.0,Decision Tree,la_liga
