YearMonth,Accuracy,Model
2022-08,0.16666666666666666,Linear Regression (Outcome Regression)
2022-09,0.3225806451612903,Linear Regression (Outcome Regression)
2022-10,0.3898305084745763,Linear Regression (Outcome Regression)
2022-11,0.35,Linear Regression (Outcome Regression)
2022-12,0.6,Linear Regression (Outcome Regression)
2023-01,0.3157894736842105,Linear Regression (Outcome Regression)
2023-02,0.23809523809523808,Linear Regression (Outcome Regression)
2023-03,0.3870967741935484,Linear Regression (Outcome Regression)
2023-04,0.2807017543859649,Linear Regression (Outcome Regression)
2023-05,0.2692307692307692,Linear Regression (Outcome Regression)
2023-06,0.6,Linear Regression (Outcome Regression)
2023-08,0.3333333333333333,Linear Regression (Outcome Regression)
2023-09,0.45454545454545453,Linear Regression (Outcome Regression)
2023-10,0.45714285714285713,Linear Regression (Outcome Regression)
2023-11,0.4666666666666667,Linear Regression (Outcome Regression)
2023-12,0.43902439024390244,Linear Regression (Outcome Regression)
2024-01,0.2564102564102564,Linear Regression (Outcome Regression)
2024-02,0.525,Linear Regression (Outcome Regression)
2024-03,0.3333333333333333,Linear Regression (Outcome Regression)
2024-04,0.21875,Linear Regression (Outcome Regression)
2024-05,0.34,Linear Regression (Outcome Regression)
