YearMonth,Accuracy,Model
2022-08,0.43333333333333335,Linear Regression (GoalDiff Regression)
2022-09,0.4838709677419355,Linear Regression (GoalDiff Regression)
2022-10,0.4406779661016949,Linear Regression (GoalDiff Regression)
2022-11,0.45,Linear Regression (GoalDiff Regression)
2022-12,0.7,Linear Regression (GoalDiff Regression)
2023-01,0.3157894736842105,Linear Regression (GoalDiff Regression)
2023-02,0.38095238095238093,Linear Regression (GoalDiff Regression)
2023-03,0.5483870967741935,Linear Regression (GoalDiff Regression)
2023-04,0.5087719298245614,Linear Regression (GoalDiff Regression)
2023-05,0.4423076923076923,Linear Regression (GoalDiff Regression)
2023-06,0.7,Linear Regression (GoalDiff Regression)
2023-08,0.3333333333333333,Linear Regression (GoalDiff Regression)
2023-09,0.6590909090909091,Linear Regression (GoalDiff Regression)
2023-10,0.5142857142857142,Linear Regression (GoalDiff Regression)
2023-11,0.7,Linear Regression (GoalDiff Regression)
2023-12,0.4878048780487805,Linear Regression (GoalDiff Regression)
2024-01,0.46153846153846156,Linear Regression (GoalDiff Regression)
2024-02,0.525,Linear Regression (GoalDiff Regression)
2024-03,0.5641025641025641,Linear Regression (GoalDiff Regression)
2024-04,0.46875,Linear Regression (GoalDiff Regression)
2024-05,0.56,Linear Regression (GoalDiff Regression)
