feature,A_coef,D_coef,H_coef,Model,League
Prob_H_b365,-0.1433498449338906,-0.05703870025464838,0.2003885451885393,Logistic Regression (Multinomial),la_liga
Home_GF_last5,0.02636365288092173,-0.034087947404556285,0.007724294523634542,Logistic Regression (Multinomial),la_liga
Home_GA_last5,-0.013408270618092551,0.002976329822763318,0.010431940795329392,Logistic Regression (Multinomial),la_liga
Home_GD_last5,0.01781681439823393,-0.017630107932803386,-0.00018670646543060483,Logistic Regression (Multinomial),la_liga
Home_Pts_last5,0.03380427272778607,0.043475513532242924,-0.07727978626002902,Logistic Regression (Multinomial),la_liga
Home_Pts_last10,-0.0060758295566989305,0.012134301823421635,-0.0060584722667224485,Logistic Regression (Multinomial),la_liga
Home_Pts_trend_3v10,-0.0038859069387136534,-0.008301593810799151,0.012187500749512699,Logistic Regression (Multinomial),la_liga
Away_GF_last5,0.03318918431315028,-0.010775637408731314,-0.022413546904418886,Logistic Regression (Multinomial),la_liga
Away_GA_last5,0.016767467245339986,-0.03374244125707029,0.01697497401173029,Logistic Regression (Multinomial),la_liga
Away_GD_last5,0.01291571633276261,0.012470386930006934,-0.025386103262769764,Logistic Regression (Multinomial),la_liga
Away_Pts_last5,-0.015704336210664218,0.04479986346461017,-0.029095527253946114,Logistic Regression (Multinomial),la_liga
Away_Pts_last10,0.07237324925935151,-0.08933741199544089,0.01696416273608925,Logistic Regression (Multinomial),la_liga
Away_Pts_trend_3v10,-0.02615263949380408,0.028313996284078144,-0.002161356790273911,Logistic Regression (Multinomial),la_liga
FormDiff_GF_last5,-0.03857063894585928,0.018071444734110813,0.020499194211748336,Logistic Regression (Multinomial),la_liga
FormDiff_GA_last5,0.013018029339688233,0.006524471442966205,-0.01954250078265443,Logistic Regression (Multinomial),la_liga
FormDiff_GD_last5,-0.034473619538141535,0.00870951237576567,0.025764107162375923,Logistic Regression (Multinomial),la_liga
FormDiff_Pts_last5,0.007217342559315674,0.021805294825588396,-0.029022637384904116,Logistic Regression (Multinomial),la_liga
FormDiff_Pts_trend_3v10,0.0063629766348239445,-0.020304216151877656,0.013941239517053809,Logistic Regression (Multinomial),la_liga
Month,-0.0013902698978313173,0.04626445995969543,-0.044874190061864064,Logistic Regression (Multinomial),la_liga
Weekday,-0.019588919374080777,0.01144627212817159,0.008142647245909131,Logistic Regression (Multinomial),la_liga
Home_AvgPts_season,-0.010551960650069192,0.01125098517306812,-0.0006990245229990549,Logistic Regression (Multinomial),la_liga
Away_AvgPts_season,-0.015119407444202818,0.028002909180037984,-0.01288350173583519,Logistic Regression (Multinomial),la_liga
SeasonStrength_PtsDiff,-0.01094893626542266,-0.018104627739925556,0.029053564005348073,Logistic Regression (Multinomial),la_liga
Home_AttDefRatio_last5,0.002303398146347081,-0.017006551033712704,0.014703152887365671,Logistic Regression (Multinomial),la_liga
Home_GoalsShare_last5,-0.039302147364442645,-0.03468707393456172,0.07398922129900438,Logistic Regression (Multinomial),la_liga
Away_AttDefRatio_last5,-0.04376314767539009,0.009456142932979698,0.034307004742410614,Logistic Regression (Multinomial),la_liga
Away_GoalsShare_last5,-0.09406421550294132,0.00993678401338098,0.08412743148956059,Logistic Regression (Multinomial),la_liga
FormDiff_AttDefRatio_last5,0.0016336809079603065,0.006752770237602966,-0.00838645114556328,Logistic Regression (Multinomial),la_liga
FormDiff_GoalsShare_last5,0.015286038789806724,-0.018156429825315804,0.0028703910355090735,Logistic Regression (Multinomial),la_liga
Home_RecentFormIdx,0.009035171035085091,0.01684211443958141,-0.025877285474666528,Logistic Regression (Multinomial),la_liga
Away_RecentFormIdx,0.015396024167749513,-0.011410884837303119,-0.003985139330446235,Logistic Regression (Multinomial),la_liga
FormDiff_RecentFormIdx,-0.03542191239733362,0.042755378112161256,-0.0073334657148276805,Logistic Regression (Multinomial),la_liga
Market_ImpliedDiff_b365,-0.1738711210821434,-0.006756450139160275,0.18062757122130402,Logistic Regression (Multinomial),la_liga
Market_ImpliedDiff_ps,-0.18905523459205292,0.014343679464441123,0.1747115551276119,Logistic Regression (Multinomial),la_liga
Market_BigHomeFav,-0.005978283612613107,-0.07406019640468599,0.08003848001729899,Logistic Regression (Multinomial),la_liga
Market_BigAwayFav,0.057712735016597176,-0.07023115135046708,0.012518416333870122,Logistic Regression (Multinomial),la_liga
Market_BalancedMatch,-0.00035317939655217143,0.001987843494404231,-0.0016346640978522552,Logistic Regression (Multinomial),la_liga
