feature,importance,Model,League
Prob_H_b365,0.098331064,XGBoost,la_liga
Home_AttDefRatio_last5,0.034820024,XGBoost,la_liga
Home_GoalsShare_last5,0.03412027,XGBoost,la_liga
FormDiff_GoalsShare_last5,0.03230731,XGBoost,la_liga
Month,0.032226503,XGBoost,la_liga
FormDiff_RecentFormIdx,0.0321327,XGBoost,la_liga
Away_RecentFormIdx,0.031712357,XGBoost,la_liga
Away_AvgPts_season,0.030916493,XGBoost,la_liga
Away_Pts_last5,0.030850355,XGBoost,la_liga
Away_GoalsShare_last5,0.03078706,XGBoost,la_liga
Away_AttDefRatio_last5,0.030595304,XGBoost,la_liga
Home_RecentFormIdx,0.030586878,XGBoost,la_liga
Home_AvgPts_season,0.030500935,XGBoost,la_liga
FormDiff_Pts_last5,0.030261658,XGBoost,la_liga
FormDiff_AttDefRatio_last5,0.030102024,XGBoost,la_liga
Away_Pts_last10,0.03007812,XGBoost,la_liga
Home_GA_last5,0.03002435,XGBoost,la_liga
FormDiff_GA_last5,0.030009883,XGBoost,la_liga
SeasonStrength_PtsDiff,0.02969292,XGBoost,la_liga
Away_Pts_trend_3v10,0.028165512,XGBoost,la_liga
Away_GF_last5,0.028151553,XGBoost,la_liga
Weekday,0.02811125,XGBoost,la_liga
Home_Pts_last10,0.027606407,XGBoost,la_liga
Home_Pts_trend_3v10,0.02711052,XGBoost,la_liga
Away_GA_last5,0.02686867,XGBoost,la_liga
FormDiff_GF_last5,0.026645236,XGBoost,la_liga
Home_Pts_last5,0.025699839,XGBoost,la_liga
FormDiff_Pts_trend_3v10,0.025411105,XGBoost,la_liga
FormDiff_GD_last5,0.024962705,XGBoost,la_liga
Away_GD_last5,0.024329161,XGBoost,la_liga
Home_GF_last5,0.023901941,XGBoost,la_liga
Home_GD_last5,0.022979917,XGBoost,la_liga
