Season,FTR,Percentage
14/15,H,47.63157894736842
14/15,A,29.210526315789476
14/15,D,23.157894736842106
15/16,H,42.10526315789473
15/16,A,29.47368421052631
15/16,D,28.421052631578945
16/17,H,48.94736842105264
16/17,A,26.31578947368421
16/17,D,24.736842105263158
17/18,H,45.526315789473685
17/18,A,29.210526315789476
17/18,D,25.263157894736842
18/19,H,43.15789473684211
18/19,D,28.947368421052634
18/19,A,27.89473684210526
20/21,A,37.631578947368425
20/21,H,37.368421052631575
20/21,D,25.0
21/22,H,42.63157894736842
21/22,A,30.526315789473685
21/22,D,26.842105263157894
22/23,H,42.89473684210526
22/23,A,32.89473684210527
22/23,D,24.210526315789473
23/24,H,39.21568627450981
23/24,A,34.31372549019608
23/24,D,26.47058823529412
