YearMonth,Accuracy,Model
2022-08,0.42857142857142855,Decision Tree
2022-09,0.5,Decision Tree
2022-10,0.5306122448979592,Decision Tree
2022-11,0.7,Decision Tree
2022-12,0.7,Decision Tree
2023-01,0.425,Decision Tree
2023-02,0.56,Decision Tree
2023-03,0.5161290322580645,Decision Tree
2023-04,0.46808510638297873,Decision Tree
2023-05,0.5238095238095238,Decision Tree
2023-06,0.2,Decision Tree
2023-08,0.4074074074074074,Decision Tree
2023-09,0.36666666666666664,Decision Tree
2023-10,0.6129032258064516,Decision Tree
2023-11,0.5185185185185185,Decision Tree
2023-12,0.6052631578947368,Decision Tree
2024-01,0.4444444444444444,Decision Tree
2024-02,0.5,Decision Tree
2024-03,0.3888888888888889,Decision Tree
2024-04,0.4444444444444444,Decision Tree
2024-05,0.5925925925925926,Decision Tree
