Class,MeanPredictedProb,FractionPositive,Model,League
A,0.06241049417841948,0.07894736842105263,Decision Tree,ligue_1
A,0.160681882572463,0.15702479338842976,Decision Tree,ligue_1
A,0.24673668092106502,0.28512396694214875,Decision Tree,ligue_1
A,0.3266873835488715,0.3925233644859813,Decision Tree,ligue_1
A,0.4542031751189262,0.5047619047619047,Decision Tree,ligue_1
A,0.538186025112335,0.55,Decision Tree,ligue_1
A,0.643374570931607,0.6923076923076923,Decision Tree,ligue_1
A,0.7685444486313815,0.7,Decision Tree,ligue_1
A,0.8133104601076878,0.6,Decision Tree,ligue_1
D,0.09054308612382374,0.2222222222222222,Decision Tree,ligue_1
D,0.16918752797676068,0.16304347826086957,Decision Tree,ligue_1
D,0.2637077401594384,0.2687651331719128,Decision Tree,ligue_1
D,0.33185579998664244,0.2662337662337662,Decision Tree,ligue_1
H,0.06581578562792571,0.0,Decision Tree,ligue_1
H,0.13765881051156592,0.10526315789473684,Decision Tree,ligue_1
H,0.2548909944222923,0.1794871794871795,Decision Tree,ligue_1
H,0.35816467669352625,0.34868421052631576,Decision Tree,ligue_1
H,0.47908158104192156,0.4931506849315068,Decision Tree,ligue_1
H,0.5190588131598758,0.4965034965034965,Decision Tree,ligue_1
H,0.6393249269171786,0.6576576576576577,Decision Tree,ligue_1
H,0.750219319993173,0.7142857142857143,Decision Tree,ligue_1
H,0.8553692339309076,0.8333333333333334,Decision Tree,ligue_1
