feature,importance,Model,League
Prob_H_b365,0.8318059427747446,Decision Tree,ligue_1
Away_GoalsShare_last5,0.05076143554518957,Decision Tree,ligue_1
Home_Pts_last10,0.030579685349479174,Decision Tree,ligue_1
Home_GA_last5,0.025985925022189355,Decision Tree,ligue_1
Away_AttDefRatio_last5,0.02020970457673906,Decision Tree,ligue_1
FormDiff_RecentFormIdx,0.0191518050546781,Decision Tree,ligue_1
FormDiff_GoalsShare_last5,0.01722387770142677,Decision Tree,ligue_1
Home_Pts_trend_3v10,0.0042816239755535355,Decision Tree,ligue_1
Away_GF_last5,0.0,Decision Tree,ligue_1
Away_RecentFormIdx,0.0,Decision Tree,ligue_1
Home_RecentFormIdx,0.0,Decision Tree,ligue_1
FormDiff_AttDefRatio_last5,0.0,Decision Tree,ligue_1
Home_GD_last5,0.0,Decision Tree,ligue_1
Home_Pts_last5,0.0,Decision Tree,ligue_1
Home_GoalsShare_last5,0.0,Decision Tree,ligue_1
Home_AttDefRatio_last5,0.0,Decision Tree,ligue_1
SeasonStrength_PtsDiff,0.0,Decision Tree,ligue_1
Away_AvgPts_season,0.0,Decision Tree,ligue_1
Home_AvgPts_season,0.0,Decision Tree,ligue_1
Weekday,0.0,Decision Tree,ligue_1
Month,0.0,Decision Tree,ligue_1
FormDiff_Pts_trend_3v10,0.0,Decision Tree,ligue_1
Home_GF_last5,0.0,Decision Tree,ligue_1
FormDiff_GD_last5,0.0,Decision Tree,ligue_1
FormDiff_GA_last5,0.0,Decision Tree,ligue_1
FormDiff_GF_last5,0.0,Decision Tree,ligue_1
Away_Pts_trend_3v10,0.0,Decision Tree,ligue_1
Away_Pts_last10,0.0,Decision Tree,ligue_1
Away_Pts_last5,0.0,Decision Tree,ligue_1
Away_GD_last5,0.0,Decision Tree,ligue_1
Away_GA_last5,0.0,Decision Tree,ligue_1
FormDiff_Pts_last5,0.0,Decision Tree,ligue_1
