YearMonth,Accuracy,Model
2022-08,0.4489795918367347,Linear Regression (Outcome Regression)
2022-09,0.34375,Linear Regression (Outcome Regression)
2022-10,0.3877551020408163,Linear Regression (Outcome Regression)
2022-11,0.55,Linear Regression (Outcome Regression)
2022-12,0.4,Linear Regression (Outcome Regression)
2023-01,0.4,Linear Regression (Outcome Regression)
2023-02,0.26,Linear Regression (Outcome Regression)
2023-03,0.3870967741935484,Linear Regression (Outcome Regression)
2023-04,0.3191489361702128,Linear Regression (Outcome Regression)
2023-05,0.42857142857142855,Linear Regression (Outcome Regression)
2023-06,0.2,Linear Regression (Outcome Regression)
2023-08,0.4074074074074074,Linear Regression (Outcome Regression)
2023-09,0.3333333333333333,Linear Regression (Outcome Regression)
2023-10,0.41935483870967744,Linear Regression (Outcome Regression)
2023-11,0.4444444444444444,Linear Regression (Outcome Regression)
2023-12,0.2631578947368421,Linear Regression (Outcome Regression)
2024-01,0.4444444444444444,Linear Regression (Outcome Regression)
2024-02,0.19444444444444445,Linear Regression (Outcome Regression)
2024-03,0.2222222222222222,Linear Regression (Outcome Regression)
2024-04,0.3055555555555556,Linear Regression (Outcome Regression)
2024-05,0.3333333333333333,Linear Regression (Outcome Regression)
