YearMonth,Accuracy,Model
2022-08,0.4897959183673469,Linear Regression (GoalDiff Regression)
2022-09,0.4375,Linear Regression (GoalDiff Regression)
2022-10,0.5102040816326531,Linear Regression (GoalDiff Regression)
2022-11,0.6,Linear Regression (GoalDiff Regression)
2022-12,0.8,Linear Regression (GoalDiff Regression)
2023-01,0.4,Linear Regression (GoalDiff Regression)
2023-02,0.52,Linear Regression (GoalDiff Regression)
2023-03,0.41935483870967744,Linear Regression (GoalDiff Regression)
2023-04,0.3404255319148936,Linear Regression (GoalDiff Regression)
2023-05,0.5,Linear Regression (GoalDiff Regression)
2023-06,0.2,Linear Regression (GoalDiff Regression)
2023-08,0.4444444444444444,Linear Regression (GoalDiff Regression)
2023-09,0.36666666666666664,Linear Regression (GoalDiff Regression)
2023-10,0.45161290322580644,Linear Regression (GoalDiff Regression)
2023-11,0.37037037037037035,Linear Regression (GoalDiff Regression)
2023-12,0.631578947368421,Linear Regression (GoalDiff Regression)
2024-01,0.3888888888888889,Linear Regression (GoalDiff Regression)
2024-02,0.3888888888888889,Linear Regression (GoalDiff Regression)
2024-03,0.2777777777777778,Linear Regression (GoalDiff Regression)
2024-04,0.4166666666666667,Linear Regression (GoalDiff Regression)
2024-05,0.5185185185185185,Linear Regression (GoalDiff Regression)
