YearMonth,Accuracy,Model
2022-08,0.5102040816326531,Random Forest
2022-09,0.5625,Random Forest
2022-10,0.5306122448979592,Random Forest
2022-11,0.55,Random Forest
2022-12,0.7,Random Forest
2023-01,0.5,Random Forest
2023-02,0.54,Random Forest
2023-03,0.45161290322580644,Random Forest
2023-04,0.46808510638297873,Random Forest
2023-05,0.5,Random Forest
2023-06,0.3,Random Forest
2023-08,0.2962962962962963,Random Forest
2023-09,0.36666666666666664,Random Forest
2023-10,0.5161290322580645,Random Forest
2023-11,0.37037037037037035,Random Forest
2023-12,0.5789473684210527,Random Forest
2024-01,0.5,Random Forest
2024-02,0.4722222222222222,Random Forest
2024-03,0.4166666666666667,Random Forest
2024-04,0.4444444444444444,Random Forest
2024-05,0.5925925925925926,Random Forest
