YearMonth,Accuracy,Model
2022-08,0.4489795918367347,XGBoost
2022-09,0.59375,XGBoost
2022-10,0.4897959183673469,XGBoost
2022-11,0.8,XGBoost
2022-12,0.7,XGBoost
2023-01,0.525,XGBoost
2023-02,0.46,XGBoost
2023-03,0.3870967741935484,XGBoost
2023-04,0.48936170212765956,XGBoost
2023-05,0.5476190476190477,XGBoost
2023-06,0.3,XGBoost
2023-08,0.4444444444444444,XGBoost
2023-09,0.4,XGBoost
2023-10,0.45161290322580644,XGBoost
2023-11,0.4074074074074074,XGBoost
2023-12,0.5263157894736842,XGBoost
2024-01,0.3333333333333333,XGBoost
2024-02,0.5277777777777778,XGBoost
2024-03,0.5,XGBoost
2024-04,0.3888888888888889,XGBoost
2024-05,0.5555555555555556,XGBoost
