feature,importance,Model,League
Prob_H_b365,0.102420196,XGBoost,ligue_1
FormDiff_AttDefRatio_last5,0.037184656,XGBoost,ligue_1
Home_GoalsShare_last5,0.03694803,XGBoost,ligue_1
Home_RecentFormIdx,0.035321828,XGBoost,ligue_1
SeasonStrength_PtsDiff,0.034860216,XGBoost,ligue_1
FormDiff_GoalsShare_last5,0.033396162,XGBoost,ligue_1
FormDiff_GF_last5,0.033058304,XGBoost,ligue_1
Away_Pts_trend_3v10,0.032185927,XGBoost,ligue_1
Away_AvgPts_season,0.03106745,XGBoost,ligue_1
FormDiff_RecentFormIdx,0.03083295,XGBoost,ligue_1
Home_AttDefRatio_last5,0.030234544,XGBoost,ligue_1
Home_Pts_last5,0.030060075,XGBoost,ligue_1
Home_Pts_last10,0.029698672,XGBoost,ligue_1
FormDiff_Pts_trend_3v10,0.028842475,XGBoost,ligue_1
Home_GA_last5,0.028817916,XGBoost,ligue_1
Away_RecentFormIdx,0.028546182,XGBoost,ligue_1
Away_GoalsShare_last5,0.028101228,XGBoost,ligue_1
Home_AvgPts_season,0.028072117,XGBoost,ligue_1
Home_GF_last5,0.027892902,XGBoost,ligue_1
Away_Pts_last5,0.02725084,XGBoost,ligue_1
Home_Pts_trend_3v10,0.027124288,XGBoost,ligue_1
Weekday,0.02704609,XGBoost,ligue_1
Away_AttDefRatio_last5,0.026977887,XGBoost,ligue_1
FormDiff_GD_last5,0.026860436,XGBoost,ligue_1
FormDiff_GA_last5,0.026323555,XGBoost,ligue_1
Month,0.02584847,XGBoost,ligue_1
Away_Pts_last10,0.025543267,XGBoost,ligue_1
Home_GD_last5,0.025178725,XGBoost,ligue_1
FormDiff_Pts_last5,0.0245701,XGBoost,ligue_1
Away_GA_last5,0.024217624,XGBoost,ligue_1
Away_GF_last5,0.022913797,XGBoost,ligue_1
Away_GD_last5,0.022603128,XGBoost,ligue_1
