Season,FTR,Percentage
14/15,H,45.26315789473684
14/15,A,30.263157894736842
14/15,D,24.47368421052632
15/16,H,41.31578947368421
15/16,A,30.526315789473685
15/16,D,28.157894736842103
16/17,H,49.21052631578947
16/17,A,28.68421052631579
16/17,D,22.105263157894736
17/18,H,45.526315789473685
17/18,A,28.421052631578945
17/18,D,26.052631578947366
18/19,H,47.63157894736842
18/19,A,33.68421052631579
18/19,D,18.684210526315788
20/21,A,40.26315789473684
20/21,H,37.89473684210527
20/21,D,21.842105263157897
21/22,H,42.89473684210526
21/22,A,33.94736842105263
21/22,D,23.157894736842106
22/23,H,48.421052631578945
22/23,A,28.68421052631579
22/23,D,22.894736842105264
23/24,H,46.05263157894737
23/24,A,32.36842105263158
23/24,D,21.578947368421055
