feature,A_coef,D_coef,H_coef,Model,League
Prob_H_b365,-0.1545559053950881,-0.03195281434524494,0.18650871974033306,Logistic Regression,premier_league
Home_GF_last5,-0.016331422985659972,0.027178838815909115,-0.010847415830248976,Logistic Regression,premier_league
Home_GA_last5,-0.020840982291211854,0.009456733205611736,0.011384249085599813,Logistic Regression,premier_league
Home_GD_last5,0.014365577974730672,0.008930622176623717,-0.02329620015135449,Logistic Regression,premier_league
Home_Pts_last5,0.005523544949934954,0.010284755651295987,-0.015808300601230903,Logistic Regression,premier_league
Home_Pts_last10,-0.018571530976963353,-0.0004814851887783979,0.019053016165742006,Logistic Regression,premier_league
Home_Pts_trend_3v10,-0.011996310587172,0.026635705585138537,-0.014639394997966425,Logistic Regression,premier_league
Away_GF_last5,0.008995676778627854,0.015881914506810646,-0.02487759128543845,Logistic Regression,premier_league
Away_GA_last5,-0.0481270129787492,0.01133114778279717,0.036795865195951946,Logistic Regression,premier_league
Away_GD_last5,0.034228828269534724,0.0037294481238887836,-0.037958276393423335,Logistic Regression,premier_league
Away_Pts_last5,-6.013546814966277e-05,-0.0453231190136328,0.04538325448178236,Logistic Regression,premier_league
Away_Pts_last10,-0.08617748942524074,0.044003456572849195,0.0421740328523915,Logistic Regression,premier_league
Away_Pts_trend_3v10,0.015993491400517278,0.024353270196267124,-0.040346761596784526,Logistic Regression,premier_league
FormDiff_GF_last5,0.007097061619898155,-0.016987786067837008,0.009890724447938891,Logistic Regression,premier_league
FormDiff_GA_last5,-0.004494351468314455,0.02165091412485317,-0.01715656265653868,Logistic Regression,premier_league
FormDiff_GD_last5,0.00732377996215128,-0.023916722608901785,0.016592942646750573,Logistic Regression,premier_league
FormDiff_Pts_last5,0.025479277140684046,0.019415549914265712,-0.04489482705494964,Logistic Regression,premier_league
FormDiff_Pts_trend_3v10,-0.003916349156329507,0.002723772215716534,0.0011925769406129604,Logistic Regression,premier_league
Month,-0.031163796430571294,0.044724424170956095,-0.013560627740385005,Logistic Regression,premier_league
Weekday,0.05316659128422666,-0.032148404707793024,-0.02101818657643353,Logistic Regression,premier_league
Home_AvgPts_season,0.020458077041005388,-0.053171174001856454,0.0327130969608509,Logistic Regression,premier_league
Away_AvgPts_season,0.060830539450963346,-0.04024670881100706,-0.02058383063995622,Logistic Regression,premier_league
SeasonStrength_PtsDiff,-0.0007155831554156701,0.0004143922394292187,0.00030119091598648697,Logistic Regression,premier_league
Home_AttDefRatio_last5,-0.033338932632124625,0.02866362597293832,0.0046753066591863094,Logistic Regression,premier_league
Home_GoalsShare_last5,-0.014700659861564897,-0.007161780877759098,0.021862440739324012,Logistic Regression,premier_league
Away_AttDefRatio_last5,0.0036358119328382035,0.046857695030595246,-0.0504935069634337,Logistic Regression,premier_league
Away_GoalsShare_last5,0.0026083530536517813,-0.023536912785831265,0.020928559732179497,Logistic Regression,premier_league
FormDiff_AttDefRatio_last5,-0.004043622877481862,-0.03664392060136556,0.0406875434788474,Logistic Regression,premier_league
FormDiff_GoalsShare_last5,0.006036269011562058,-0.013578409987383598,0.007542140975821545,Logistic Regression,premier_league
Home_RecentFormIdx,-0.01224105969861186,0.016333388778779937,-0.004092329080168141,Logistic Regression,premier_league
Away_RecentFormIdx,-0.032952654032443254,0.01531182806246596,0.017640825969977333,Logistic Regression,premier_league
FormDiff_RecentFormIdx,0.03971825505321977,-0.016609679188045866,-0.02310857586517399,Logistic Regression,premier_league
Market_ImpliedDiff_b365,-0.17360160136444866,0.04012224927707334,0.1334793520873757,Logistic Regression,premier_league
Market_ImpliedDiff_ps,-0.19671318130472787,0.05445978992692467,0.14225339137780343,Logistic Regression,premier_league
Market_BigHomeFav,-0.04514583084117155,-0.029946049677632234,0.07509188051880386,Logistic Regression,premier_league
Market_BigAwayFav,0.10499265307846228,-0.03413725441477055,-0.07085539866369164,Logistic Regression,premier_league
Market_BalancedMatch,-0.054069460643336426,0.06533020625523567,-0.011260745611899036,Logistic Regression,premier_league
