feature,importance
Prob_H_b365,0.16881726841637712
SeasonStrength_PtsDiff,0.05654488419990834
Away_Pts_trend_3v10,0.04285344564636669
Away_AvgPts_season,0.0410417816489084
Home_Pts_trend_3v10,0.04065978134029404
FormDiff_Pts_trend_3v10,0.040248777684167306
Home_AvgPts_season,0.03801121644185294
FormDiff_GoalsShare_last5,0.035818420735397094
FormDiff_AttDefRatio_last5,0.03246583897057017
FormDiff_RecentFormIdx,0.03161311752057088
Away_Pts_last10,0.030517165619777433
Month,0.029269277889550527
Home_Pts_last10,0.02761106187793132
Away_GoalsShare_last5,0.026143862222753948
Away_RecentFormIdx,0.025568019107931203
Home_RecentFormIdx,0.024505599474352917
Home_GoalsShare_last5,0.02403076254239753
FormDiff_GA_last5,0.02334087963528925
Away_AttDefRatio_last5,0.02226068173170715
FormDiff_GF_last5,0.02218094223288752
