feature,importance,Model,League
Prob_H_b365,0.8109821082736085,Decision Tree,premier_league
FormDiff_GoalsShare_last5,0.029167507051106226,Decision Tree,premier_league
FormDiff_Pts_trend_3v10,0.026641483002102964,Decision Tree,premier_league
Home_GA_last5,0.025872662729340513,Decision Tree,premier_league
Home_AvgPts_season,0.023100727698397217,Decision Tree,premier_league
Away_GD_last5,0.021789085442450302,Decision Tree,premier_league
Home_Pts_last10,0.021776453922086304,Decision Tree,premier_league
FormDiff_GD_last5,0.01610489061848446,Decision Tree,premier_league
FormDiff_RecentFormIdx,0.014935727535576693,Decision Tree,premier_league
Month,0.00962935372684683,Decision Tree,premier_league
Away_GA_last5,0.0,Decision Tree,premier_league
Away_AvgPts_season,0.0,Decision Tree,premier_league
Away_RecentFormIdx,0.0,Decision Tree,premier_league
Home_RecentFormIdx,0.0,Decision Tree,premier_league
Home_GD_last5,0.0,Decision Tree,premier_league
FormDiff_AttDefRatio_last5,0.0,Decision Tree,premier_league
Away_GoalsShare_last5,0.0,Decision Tree,premier_league
Away_AttDefRatio_last5,0.0,Decision Tree,premier_league
Home_GoalsShare_last5,0.0,Decision Tree,premier_league
Home_AttDefRatio_last5,0.0,Decision Tree,premier_league
SeasonStrength_PtsDiff,0.0,Decision Tree,premier_league
Home_Pts_last5,0.0,Decision Tree,premier_league
Away_Pts_last5,0.0,Decision Tree,premier_league
Weekday,0.0,Decision Tree,premier_league
Home_Pts_trend_3v10,0.0,Decision Tree,premier_league
Home_GF_last5,0.0,Decision Tree,premier_league
Away_GF_last5,0.0,Decision Tree,premier_league
FormDiff_GA_last5,0.0,Decision Tree,premier_league
FormDiff_GF_last5,0.0,Decision Tree,premier_league
Away_Pts_trend_3v10,0.0,Decision Tree,premier_league
Away_Pts_last10,0.0,Decision Tree,premier_league
FormDiff_Pts_last5,0.0,Decision Tree,premier_league
