feature,importance,Model,League
Prob_H_b365,0.10747802,XGBoost,premier_league
SeasonStrength_PtsDiff,0.054717094,XGBoost,premier_league
FormDiff_AttDefRatio_last5,0.035700254,XGBoost,premier_league
FormDiff_Pts_last5,0.035591654,XGBoost,premier_league
FormDiff_GoalsShare_last5,0.032314595,XGBoost,premier_league
FormDiff_RecentFormIdx,0.030899974,XGBoost,premier_league
Away_GD_last5,0.029766738,XGBoost,premier_league
Home_Pts_last10,0.02960486,XGBoost,premier_league
Home_GoalsShare_last5,0.02958266,XGBoost,premier_league
Home_GF_last5,0.029361155,XGBoost,premier_league
FormDiff_GD_last5,0.02935689,XGBoost,premier_league
Away_RecentFormIdx,0.029350867,XGBoost,premier_league
FormDiff_Pts_trend_3v10,0.029264083,XGBoost,premier_league
Away_AttDefRatio_last5,0.028843071,XGBoost,premier_league
Home_Pts_last5,0.028554993,XGBoost,premier_league
Home_RecentFormIdx,0.028353658,XGBoost,premier_league
Away_GoalsShare_last5,0.02827166,XGBoost,premier_league
Away_AvgPts_season,0.02756444,XGBoost,premier_league
FormDiff_GF_last5,0.02737434,XGBoost,premier_league
Away_Pts_last10,0.02734028,XGBoost,premier_league
Home_Pts_trend_3v10,0.027045604,XGBoost,premier_league
Away_Pts_last5,0.026854709,XGBoost,premier_league
Away_Pts_trend_3v10,0.026333613,XGBoost,premier_league
Away_GF_last5,0.026000578,XGBoost,premier_league
Home_AvgPts_season,0.02587577,XGBoost,premier_league
Away_GA_last5,0.025823,XGBoost,premier_league
Home_AttDefRatio_last5,0.025016747,XGBoost,premier_league
Home_GD_last5,0.024872802,XGBoost,premier_league
Month,0.02351017,XGBoost,premier_league
Home_GA_last5,0.023356495,XGBoost,premier_league
Weekday,0.023265716,XGBoost,premier_league
FormDiff_GA_last5,0.022753457,XGBoost,premier_league
