Season,FTR,Percentage
14/15,H,40.0
14/15,D,31.57894736842105
14/15,A,28.421052631578945
15/16,H,46.05263157894737
15/16,A,28.947368421052634
15/16,D,25.0
16/17,H,48.421052631578945
16/17,A,30.526315789473685
16/17,D,21.052631578947366
17/18,H,43.15789473684211
17/18,A,35.0
17/18,D,21.842105263157897
18/19,H,43.684210526315795
18/19,D,28.421052631578945
18/19,A,27.89473684210526
20/21,H,40.78947368421053
20/21,A,33.68421052631579
20/21,D,25.526315789473685
21/22,H,38.94736842105263
21/22,A,35.26315789473684
21/22,D,25.789473684210527
22/23,H,42.368421052631575
22/23,A,31.31578947368421
22/23,D,26.31578947368421
23/24,H,41.8421052631579
23/24,D,29.47368421052631
23/24,A,28.68421052631579
