YearMonth,Accuracy,Model
2022-08,0.631578947368421,Decision Tree
2022-09,0.375,Decision Tree
2022-10,0.56,Decision Tree
2022-11,0.43333333333333335,Decision Tree
2023-01,0.44,Decision Tree
2023-02,0.5,Decision Tree
2023-03,0.5,Decision Tree
2023-04,0.44,Decision Tree
2023-05,0.36,Decision Tree
2023-06,0.5,Decision Tree
2023-08,0.5,Decision Tree
2023-09,0.4883720930232558,Decision Tree
2023-10,0.6216216216216216,Decision Tree
2023-11,0.3333333333333333,Decision Tree
2023-12,0.48,Decision Tree
2024-01,0.6111111111111112,Decision Tree
2024-02,0.5227272727272727,Decision Tree
2024-03,0.5,Decision Tree
2024-04,0.4888888888888889,Decision Tree
2024-05,0.475,Decision Tree
