Class,MeanPredictedProb,FractionPositive,Model,League
A,0.07870299684815836,0.07692307692307693,Decision Tree,serie_a
A,0.15786545247636977,0.11065573770491803,Decision Tree,serie_a
A,0.2609811393825591,0.25862068965517243,Decision Tree,serie_a
A,0.32594045822395756,0.29931972789115646,Decision Tree,serie_a
A,0.4382951230303037,0.4528301886792453,Decision Tree,serie_a
A,0.5697486340931246,0.5363636363636364,Decision Tree,serie_a
A,0.6337260551183364,0.6451612903225806,Decision Tree,serie_a
A,0.7267770462170111,1.0,Decision Tree,serie_a
D,0.09468230683609197,0.14285714285714285,Decision Tree,serie_a
D,0.17610564548044894,0.29411764705882354,Decision Tree,serie_a
D,0.25226400834733287,0.26970227670753066,Decision Tree,serie_a
D,0.33315413512701475,0.3103448275862069,Decision Tree,serie_a
D,0.42502468601409027,0.4,Decision Tree,serie_a
H,0.08787328302310803,0.0,Decision Tree,serie_a
H,0.16155766416730943,0.15602836879432624,Decision Tree,serie_a
H,0.2337557336935075,0.26,Decision Tree,serie_a
H,0.36906294969638354,0.3855932203389831,Decision Tree,serie_a
H,0.41936919086203484,0.4050632911392405,Decision Tree,serie_a
H,0.5881464304146439,0.6382978723404256,Decision Tree,serie_a
H,0.6240692590110851,0.6235294117647059,Decision Tree,serie_a
H,0.7619451934859808,0.6,Decision Tree,serie_a
H,0.8284699392818399,0.7619047619047619,Decision Tree,serie_a
