feature,importance,Model,League
Prob_H_b365,0.8286537047494847,Decision Tree,serie_a
SeasonStrength_PtsDiff,0.04299760693475367,Decision Tree,serie_a
Home_GoalsShare_last5,0.03767603939182345,Decision Tree,serie_a
Away_Pts_trend_3v10,0.017609303581133988,Decision Tree,serie_a
Home_GD_last5,0.016633675055908792,Decision Tree,serie_a
Home_RecentFormIdx,0.01582305582568127,Decision Tree,serie_a
Away_RecentFormIdx,0.015245366041295665,Decision Tree,serie_a
Away_AvgPts_season,0.015245040411583276,Decision Tree,serie_a
Month,0.01011620800833521,Decision Tree,serie_a
FormDiff_Pts_trend_3v10,0.0,Decision Tree,serie_a
Home_AttDefRatio_last5,0.0,Decision Tree,serie_a
Away_GoalsShare_last5,0.0,Decision Tree,serie_a
FormDiff_AttDefRatio_last5,0.0,Decision Tree,serie_a
FormDiff_GoalsShare_last5,0.0,Decision Tree,serie_a
Home_AvgPts_season,0.0,Decision Tree,serie_a
Weekday,0.0,Decision Tree,serie_a
Away_AttDefRatio_last5,0.0,Decision Tree,serie_a
FormDiff_Pts_last5,0.0,Decision Tree,serie_a
Home_GF_last5,0.0,Decision Tree,serie_a
FormDiff_GD_last5,0.0,Decision Tree,serie_a
FormDiff_GA_last5,0.0,Decision Tree,serie_a
FormDiff_GF_last5,0.0,Decision Tree,serie_a
Away_Pts_last10,0.0,Decision Tree,serie_a
Away_Pts_last5,0.0,Decision Tree,serie_a
Away_GD_last5,0.0,Decision Tree,serie_a
Away_GA_last5,0.0,Decision Tree,serie_a
Away_GF_last5,0.0,Decision Tree,serie_a
Home_Pts_trend_3v10,0.0,Decision Tree,serie_a
Home_Pts_last10,0.0,Decision Tree,serie_a
Home_Pts_last5,0.0,Decision Tree,serie_a
Home_GA_last5,0.0,Decision Tree,serie_a
FormDiff_RecentFormIdx,0.0,Decision Tree,serie_a
