YearMonth,Accuracy,Model
2022-08,0.631578947368421,Linear Regression (Outcome Regression)
2022-09,0.34375,Linear Regression (Outcome Regression)
2022-10,0.4,Linear Regression (Outcome Regression)
2022-11,0.3333333333333333,Linear Regression (Outcome Regression)
2023-01,0.4,Linear Regression (Outcome Regression)
2023-02,0.4,Linear Regression (Outcome Regression)
2023-03,0.3333333333333333,Linear Regression (Outcome Regression)
2023-04,0.36,Linear Regression (Outcome Regression)
2023-05,0.32,Linear Regression (Outcome Regression)
2023-06,0.1,Linear Regression (Outcome Regression)
2023-08,0.35,Linear Regression (Outcome Regression)
2023-09,0.37209302325581395,Linear Regression (Outcome Regression)
2023-10,0.3783783783783784,Linear Regression (Outcome Regression)
2023-11,0.36666666666666664,Linear Regression (Outcome Regression)
2023-12,0.48,Linear Regression (Outcome Regression)
2024-01,0.4166666666666667,Linear Regression (Outcome Regression)
2024-02,0.36363636363636365,Linear Regression (Outcome Regression)
2024-03,0.29411764705882354,Linear Regression (Outcome Regression)
2024-04,0.5333333333333333,Linear Regression (Outcome Regression)
2024-05,0.375,Linear Regression (Outcome Regression)
