YearMonth,Accuracy,Model
2022-08,0.6578947368421053,Linear Regression (GoalDiff Regression)
2022-09,0.46875,Linear Regression (GoalDiff Regression)
2022-10,0.54,Linear Regression (GoalDiff Regression)
2022-11,0.4,Linear Regression (GoalDiff Regression)
2023-01,0.42,Linear Regression (GoalDiff Regression)
2023-02,0.475,Linear Regression (GoalDiff Regression)
2023-03,0.43333333333333335,Linear Regression (GoalDiff Regression)
2023-04,0.46,Linear Regression (GoalDiff Regression)
2023-05,0.36,Linear Regression (GoalDiff Regression)
2023-06,0.4,Linear Regression (GoalDiff Regression)
2023-08,0.4,Linear Regression (GoalDiff Regression)
2023-09,0.5348837209302325,Linear Regression (GoalDiff Regression)
2023-10,0.6486486486486487,Linear Regression (GoalDiff Regression)
2023-11,0.36666666666666664,Linear Regression (GoalDiff Regression)
2023-12,0.48,Linear Regression (GoalDiff Regression)
2024-01,0.5833333333333334,Linear Regression (GoalDiff Regression)
2024-02,0.5681818181818182,Linear Regression (GoalDiff Regression)
2024-03,0.4411764705882353,Linear Regression (GoalDiff Regression)
2024-04,0.4222222222222222,Linear Regression (GoalDiff Regression)
2024-05,0.45,Linear Regression (GoalDiff Regression)
