feature,A_coef,D_coef,H_coef,Model,League
Prob_H_b365,-0.1894700976266142,-0.06471601109721553,0.25418610872383013,Logistic Regression,serie_a
Home_GF_last5,0.04393300429107091,-0.010751679265036397,-0.03318132502603435,Logistic Regression,serie_a
Home_GA_last5,-0.023171086345878385,0.0461484638836517,-0.022977377537773406,Logistic Regression,serie_a
Home_GD_last5,0.042543296501296984,-0.035309414874243834,-0.007233881627053238,Logistic Regression,serie_a
Home_Pts_last5,-0.039614771443378716,-0.027878210870115005,0.06749298231349374,Logistic Regression,serie_a
Home_Pts_last10,0.0575203393464052,0.006748882723490142,-0.06426922206989584,Logistic Regression,serie_a
Home_Pts_trend_3v10,-0.02966875644211666,0.009537848031177645,0.02013090841093901,Logistic Regression,serie_a
Away_GF_last5,-0.001357956659399206,-0.048516607482814555,0.04987456414221395,Logistic Regression,serie_a
Away_GA_last5,0.000741993117878337,-0.009982909997510501,0.009240916879632105,Logistic Regression,serie_a
Away_GD_last5,-0.0013764625326329895,-0.026328441600692996,0.02770490413332591,Logistic Regression,serie_a
Away_Pts_last5,-0.001004877113345203,-0.012108117759986287,0.013112994873331542,Logistic Regression,serie_a
Away_Pts_last10,-0.022818288495040147,-0.0034027573472614893,0.026221045842301238,Logistic Regression,serie_a
Away_Pts_trend_3v10,-0.0668913434244454,0.03489268216695719,0.03199866125748828,Logistic Regression,serie_a
FormDiff_GF_last5,0.016608673238317766,0.029903440916819856,-0.04651211415513774,Logistic Regression,serie_a
FormDiff_GA_last5,0.006566739381651653,0.014967749123002657,-0.021534488504654385,Logistic Regression,serie_a
FormDiff_GD_last5,0.006931418188282232,0.010485793746873664,-0.017417211935155722,Logistic Regression,serie_a
FormDiff_Pts_last5,-0.05060725910305194,0.0017411843965122293,0.048866074706539746,Logistic Regression,serie_a
FormDiff_Pts_trend_3v10,0.012043329269244056,0.017426012441872096,-0.029469341711115888,Logistic Regression,serie_a
Month,0.009509323475279526,0.004131972311000685,-0.013641295786280462,Logistic Regression,serie_a
Weekday,0.011811493756906563,-0.012801178496884466,0.0009896847399777891,Logistic Regression,serie_a
Home_AvgPts_season,-0.018921418582800976,0.03747659949945592,-0.018555180916655072,Logistic Regression,serie_a
Away_AvgPts_season,0.01536023018063127,-0.02151839327640046,0.006158163095769132,Logistic Regression,serie_a
SeasonStrength_PtsDiff,-0.006428356677461514,0.021135725806246543,-0.014707369128785024,Logistic Regression,serie_a
Home_AttDefRatio_last5,0.02968912188547559,-0.055748025610340916,0.0260589037248654,Logistic Regression,serie_a
Home_GoalsShare_last5,-0.038961062752401875,0.05298612188331438,-0.014025059130912126,Logistic Regression,serie_a
Away_AttDefRatio_last5,0.04108184236574419,-0.003937338586076055,-0.0371445037796678,Logistic Regression,serie_a
Away_GoalsShare_last5,-0.04247637643061993,0.06590717376516492,-0.02343079733454508,Logistic Regression,serie_a
FormDiff_AttDefRatio_last5,-0.03445660609801541,-0.012685487211220701,0.04714209330923621,Logistic Regression,serie_a
FormDiff_GoalsShare_last5,-0.01706506619005007,0.0031301504045296662,0.013934915785520214,Logistic Regression,serie_a
Home_RecentFormIdx,0.00027014886946281235,-0.004060679810379659,0.003790530940916754,Logistic Regression,serie_a
Away_RecentFormIdx,-0.04219065551737123,0.01005587174868455,0.03213478376868673,Logistic Regression,serie_a
FormDiff_RecentFormIdx,0.008268066864158107,0.013895492458009294,-0.022163559322167528,Logistic Regression,serie_a
Market_ImpliedDiff_b365,-0.23041436689181405,0.0082903797793911,0.222123987112423,Logistic Regression,serie_a
Market_ImpliedDiff_ps,-0.2095276975759452,-0.01041495031586307,0.2199426478918083,Logistic Regression,serie_a
Market_BigHomeFav,0.007735267974791102,-0.014020158034269772,0.006284890059479022,Logistic Regression,serie_a
Market_BigAwayFav,0.037593671072556366,-0.033694292291037424,-0.0038993787815189244,Logistic Regression,serie_a
Market_BalancedMatch,-0.03819192801377871,0.03424061898957716,0.0039513090242014656,Logistic Regression,serie_a
