feature,importance,Model,League
Prob_H_b365,0.12460724,XGBoost,serie_a
SeasonStrength_PtsDiff,0.06150285,XGBoost,serie_a
Home_GoalsShare_last5,0.035065908,XGBoost,serie_a
FormDiff_RecentFormIdx,0.031178696,XGBoost,serie_a
FormDiff_AttDefRatio_last5,0.030896029,XGBoost,serie_a
FormDiff_GoalsShare_last5,0.030297654,XGBoost,serie_a
FormDiff_Pts_trend_3v10,0.030279223,XGBoost,serie_a
Home_RecentFormIdx,0.02926755,XGBoost,serie_a
Home_GA_last5,0.029225936,XGBoost,serie_a
Home_Pts_last10,0.02921817,XGBoost,serie_a
Away_RecentFormIdx,0.02876465,XGBoost,serie_a
Home_GD_last5,0.028091364,XGBoost,serie_a
FormDiff_GF_last5,0.027978456,XGBoost,serie_a
Away_Pts_trend_3v10,0.027871331,XGBoost,serie_a
FormDiff_GD_last5,0.027707972,XGBoost,serie_a
Away_AttDefRatio_last5,0.027446385,XGBoost,serie_a
Away_AvgPts_season,0.027275365,XGBoost,serie_a
Away_GoalsShare_last5,0.027083952,XGBoost,serie_a
Home_GF_last5,0.026896145,XGBoost,serie_a
FormDiff_GA_last5,0.02688027,XGBoost,serie_a
Away_Pts_last10,0.026557159,XGBoost,serie_a
Home_AvgPts_season,0.026543094,XGBoost,serie_a
Home_AttDefRatio_last5,0.02572631,XGBoost,serie_a
Away_GF_last5,0.025473954,XGBoost,serie_a
Home_Pts_trend_3v10,0.025403565,XGBoost,serie_a
Away_Pts_last5,0.025034841,XGBoost,serie_a
Weekday,0.024662238,XGBoost,serie_a
FormDiff_Pts_last5,0.024574691,XGBoost,serie_a
Month,0.023762455,XGBoost,serie_a
Home_Pts_last5,0.023434533,XGBoost,serie_a
Away_GD_last5,0.022839835,XGBoost,serie_a
Away_GA_last5,0.018452121,XGBoost,serie_a
